date,inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),outflow(m3/d)
1982-01-01,2607629.3231615997,2059.01544,,-5.8332599999999974,-16.2277876,633700350.0,1176800.90112
1982-01-02,893096.4676608001,2059.01544,,-13.694434,-26.8834284,633416649.6,1176800.90112
1982-01-03,1176800.90112,2059.021536,,-10.5055196,-19.9833732,633416649.6,1176800.90112
1982-01-04,1756540.4884992,2059.0306800000003,,-4.477693599999997,-10.416629999999998,633996385.2,1176800.90112
1982-01-05,2619862.1807616,2059.036776,,-4.566583199999997,-15.877784799999999,635427222.0,1189033.75872
1982-01-06,1201266.61632,2059.036776,,-7.533273599999998,-28.7167764,635427222.0,1201266.61632
1982-01-07,1201266.61632,2059.036776,,-11.8166412,-29.677895200000002,635427222.0,1201266.61632
1982-01-08,1768675.4832384,2059.042872,,-7.138825999999998,-20.9000472,635994622.8,1201266.61632
1982-01-09,917562.1828608001,2059.039824,,-2.8610139999999973,-19.677815199999998,635710922.4,1201266.61632
1982-01-10,917562.1828608001,2059.036776,,-3.644353599999997,-19.677815199999998,635427222.0,1201266.61632
1982-01-11,917562.1828608001,2059.033728,,-0.14988119999999583,-15.222223999999999,635143521.6,1201266.61632
1982-01-12,621527.0289408,2059.0276320000003,,-1.855450399999997,-21.250049999999998,634563786.0,1201266.61632
1982-01-13,1211052.9024,2059.0276320000003,,-3.2999063999999994,-14.872221199999998,634563786.0,1211052.9024
1982-01-14,1494757.3358592,2059.0306800000003,,-2.2054531999999973,-11.027745999999999,634847486.4,1211052.9024
1982-01-15,1792676.3498496,2059.036776,,-2.377676799999998,-6.311041599999998,635429109.2244,1211052.9024
1982-01-16,1211052.9024,2059.036776,,-2.1165635999999974,-8.099944799999998,635429109.2244,1211052.9024
1982-01-17,2358812.9995776,2059.048968,,0.022342400000002982,-4.477693599999997,636576862.3644,1211052.9024
1982-01-18,1211052.9024,2059.048968,,-0.8054419999999958,-7.927721199999999,636576862.3644,1211052.9024
1982-01-19,1211052.9024,2059.048968,,-4.083245999999999,-13.516654799999998,636576862.3644,1211052.9024
1982-01-20,1223285.76,2059.048968,,-4.433248799999998,-15.6611164,636576862.3644,1223285.76
1982-01-21,1235518.6176,2059.048968,,-1.855450399999997,-16.577790399999998,636576862.3644,1235518.6176
1982-01-22,941563.049472,2059.04592,,-6.444375999999998,-15.1777792,636282911.7456,1235518.6176
1982-01-23,2094363.0839808,2059.055064,,-1.5943371999999982,-12.122199199999999,637141759.2,1235518.6176
1982-01-24,2962382.1935615996,2059.073352,,0.7667928000000046,-7.361049999999999,638868631.2,1235518.6176
1982-01-25,1242858.33216,2059.073352,,-4.261025199999999,-15.1777792,638868631.2,1242858.33216
1982-01-26,1531455.9086592,2059.0764,,5.133494400000004,-12.9499836,639152331.6,1247751.4752
1982-01-27,1815160.3421184,2059.0824960000004,,-3.166571999999997,-14.7388868,639719732.4,1247751.4752
1982-01-28,964047.0417408,2059.079448,,-3.605464399999997,-17.055571999999998,639436032.0,1247751.4752
1982-01-29,1256241.0783744,2059.079448,,14.044676800000005,-24.4389644,639432294.5555999,1259984.3328
1982-01-30,696318.7203072,2059.073352,,-3.5165747999999972,-14.2611052,638868631.2,1259984.3328
1982-01-31,2974517.1883008,2059.079448,,-1.8110055999999979,-11.377748799999999,640583168.4,1259984.3328
1982-02-01,112835.8785024,2059.079448,,-2.816569199999998,-16.577790399999998,639436032.0,1259984.3328
1982-02-02,976279.8993408,2059.0764,,-6.9666023999999975,-18.88892,639152331.6,1259984.3328
1982-02-03,1558368.1953792002,2059.079448,,-6.527709999999997,-21.2056052,639436032.0,1274663.76192
1982-02-04,1000745.6145408,2059.0764,,-13.255541599999997,-32.6501412,639152331.6,1284450.048
1982-02-05,136689.9508224,2059.0642080000002,,-15.616671599999998,-40.3779808,638004578.46,1284450.048
1982-02-06,1864703.4153983998,2059.070304,,-14.916666,-37.7612932,638572596.0,1296682.9056
1982-02-07,1012978.4721408001,2059.0672560000003,,-8.8443952,-18.6278068,638288895.6,1296682.9056
1982-02-08,438499.0135296,2059.058112,,-6.527709999999997,-26.055644,637430701.89,1296682.9056
1982-02-09,1303777.9630079998,2059.058112,,-12.861093999999998,-27.933436800000003,637437794.4,1296682.9056
1982-02-10,715720.0324608,2059.052016,,-8.583281999999999,-32.866809599999996,636856825.32,1296682.9056
1982-02-11,1581610.6248192,2059.055064,,-6.749933999999998,-34.6557128,637141759.2,1296682.9056
1982-02-12,1012978.4721408001,2059.052016,,-0.8943315999999975,-28.1501052,636858058.8,1296682.9056
1982-02-13,1012978.4721408001,2059.048968,,3.3834804000000034,-11.899975199999998,636574358.4,1296682.9056
1982-02-14,1864091.7725183999,2059.055064,,1.9890248000000028,-2.599900799999997,637141759.2,1296682.9056
1982-02-15,3307250.9150207997,2059.0764,,4.477933600000004,0.06678720000000027,639152331.6,1296682.9056
1982-02-16,3011215.7611008,2059.094688,,5.000160000000005,-0.8498867999999966,640866868.8,1296682.9056
1982-02-17,1284450.048,2059.094688,,2.8168092000000016,-6.005483599999998,640866868.8,1284450.048
1982-02-18,1284450.048,2059.094688,,5.044604800000002,-7.533273599999998,640866868.8,1284450.048
1982-02-19,717041.1810815999,2059.088592,,2.6890304000000036,-6.138817999999999,640299468.0,1284450.048
1982-02-20,1284450.048,2059.088592,,6.139058000000002,-7.099936799999998,640299468.0,1284450.048
1982-02-21,1851858.9149183999,2059.094688,,8.9335248,1.4612428000000044,640866868.8,1284450.048
1982-02-22,1284450.048,2059.094688,,6.094613200000001,-2.5554559999999977,640866868.8,1284450.048
1982-02-23,1184238.4785408,2059.09164,,-2.249897999999998,-11.772196399999999,640583168.4,1467942.912
1982-02-24,1739512.35072,2059.09164,,-2.377676799999998,-22.472282,640583168.4,1739512.35072
1982-02-25,1174550.0553216,2059.085544,,0.9834612000000043,-23.7834036,640015767.6,1741958.92224
1982-02-26,1741958.92224,2059.085544,,4.694602000000003,-17.6222432,640015767.6,1741958.92224
1982-02-27,878514.9014016,2059.0764,,4.605712400000002,-7.8832764,639152331.6,1741958.92224
1982-02-28,1458254.4887807998,2059.073352,,5.961278800000002,-17.055571999999998,638868631.2,1741958.92224
1982-03-01,878514.9014016,2059.0642080000002,,6.922397600000004,-10.283295599999999,638005195.2,1741958.92224
1982-03-02,1458254.4887807998,2059.06116,,5.744610400000006,-6.444375999999998,637721494.8,1741958.92224
1982-03-03,1225830.1943808,2059.055064,,3.3834804000000034,-8.449947599999998,637141759.2,1805569.78176
1982-03-04,1575787.7846016001,2059.048968,,0.8501268000000017,-7.011047199999998,636574358.4,2143196.65152
1982-03-05,372319.2539136,2059.0276320000003,,2.422361600000002,-15.4833372,634561282.0356,2385407.232
1982-03-06,1237647.1348224,2059.01544,,1.9001352000000047,-14.611107999999998,633413528.8956,2385407.232
1982-03-07,957685.9557888,2059.0002,,1.5501324000000025,-6.049928399999999,631985812.8,2385407.232
1982-03-08,2105397.1215359997,2058.997152,,4.300154400000004,-14.305549999999998,631705812.84,2385407.232
1982-03-09,2414839.4873856,2058.997152,,5.527942000000003,-0.9832211999999956,631705886.8488001,2414766.09024
1982-03-10,139503.5080704,2058.963624,,8.755745600000001,-2.249897999999998,628542516.3756,3302871.552
