date,max_temp(C),min_temp(C),avg_temp(C)
2005-08-20 00:00:00+00:00,22.0,18.9,20.5
2005-08-21 00:00:00+00:00,23.0,19.6,21.3
2005-08-22 00:00:00+00:00,22.5,20.0,21.2
2005-08-23 00:00:00+00:00,20.7,18.4,19.5
2005-08-24 00:00:00+00:00,20.0,17.1,18.6
2005-08-25 00:00:00+00:00,20.0,17.1,18.7
2005-08-26 00:00:00+00:00,20.5,17.5,19.0
2005-08-27 00:00:00+00:00,21.0,17.9,19.6
2005-08-28 00:00:00+00:00,21.2,18.4,19.8
2005-08-29 00:00:00+00:00,20.4,18.4,19.4
2005-08-30 00:00:00+00:00,19.2,17.0,18.2
2005-08-31 00:00:00+00:00,19.6,16.8,18.2
2005-09-01 00:00:00+00:00,19.7,17.1,18.4
2005-09-02 00:00:00+00:00,19.6,17.6,18.6
2005-09-03 00:00:00+00:00,18.9,17.3,18.2
2005-09-04 00:00:00+00:00,18.4,16.2,17.3
2005-09-05 00:00:00+00:00,17.8,15.6,16.8
2005-09-06 00:00:00+00:00,17.9,15.6,16.7
2005-09-07 00:00:00+00:00,18.4,16.2,17.3
2005-09-08 00:00:00+00:00,18.9,16.8,17.9
2005-09-09 00:00:00+00:00,18.7,16.8,17.7
2005-09-10 00:00:00+00:00,17.1,15.2,16.0
2005-09-11 00:00:00+00:00,16.8,14.9,16.0
2005-09-12 00:00:00+00:00,17.5,15.7,16.6
2005-09-13 00:00:00+00:00,17.9,15.9,17.0
2005-09-14 00:00:00+00:00,18.4,16.5,17.5
2005-09-15 00:00:00+00:00,18.1,16.7,17.5
2005-09-16 00:00:00+00:00,17.5,15.7,16.6
2005-09-17 00:00:00+00:00,17.0,14.9,16.1
2005-09-18 00:00:00+00:00,17.1,15.4,16.4
2005-09-19 00:00:00+00:00,17.6,15.6,16.8
2005-09-20 00:00:00+00:00,17.3,15.6,16.5
2005-09-21 00:00:00+00:00,16.4,14.1,15.3
2005-09-22 00:00:00+00:00,15.7,14.0,15.0
2005-09-23 00:00:00+00:00,15.9,14.0,15.0
2005-09-24 00:00:00+00:00,15.4,13.5,14.7
2005-09-25 00:00:00+00:00,15.6,13.8,14.8
2005-09-26 00:00:00+00:00,15.9,14.3,15.2
2005-09-27 00:00:00+00:00,16.5,14.9,15.8
2005-09-28 00:00:00+00:00,16.2,14.8,15.6
2005-09-29 00:00:00+00:00,15.9,15.1,15.5
2005-09-30 00:00:00+00:00,16.7,15.7,16.3
2005-10-01 00:00:00+00:00,16.2,14.5,15.1
2005-10-02 00:00:00+00:00,14.5,12.8,13.3
2005-10-03 00:00:00+00:00,13.8,12.4,13.1
2005-10-04 00:00:00+00:00,13.7,12.3,13.1
2005-10-05 00:00:00+00:00,14.0,12.8,13.4
2005-10-06 00:00:00+00:00,14.3,13.5,14.0
2005-10-07 00:00:00+00:00,14.1,13.2,13.6
