date,computed flow(m3/d),wse(m),outflow(m3/d),storage(m3)
1982-01-01,,954.9780240000001,281355.72479999997,21603748.4556
1982-01-02,,954.9841200000001,281355.72479999997,21622188.981599998
1982-01-03,,954.9963120000001,327840.58368,21659168.712
1982-01-04,,954.9963120000001,330287.1552,21659168.712
1982-01-05,,954.990216,325394.01216,21640678.8468
1982-01-06,,954.981072,310714.58304,21612974.886
1982-01-07,,954.9780240000001,293588.5824,21603748.4556
1982-01-08,,954.981072,310714.58304,21612974.886
1982-01-09,,954.9841200000001,310714.58304,21622188.981599998
1982-01-10,,954.9841200000001,318054.2976,21622188.981599998
1982-01-11,,954.987168,322947.44064,21631427.7468
1982-01-12,,954.99936,342520.01279999997,21668432.1468
1982-01-13,,954.99936,352306.29888,21668432.1468
1982-01-14,,955.008504,384111.72864,21696197.7816
1982-01-15,,955.0115519999999,384111.72864,21705473.5512
1982-01-16,,955.0176480000001,401237.72927999997,21724049.76
1982-01-17,,955.0176480000001,384111.72864,21724049.76
1982-01-18,,955.0146000000001,369432.29952,21714773.9904
1982-01-19,,955.0176480000001,340073.44127999997,21724049.76
1982-01-20,,955.0115519999999,254443.43808,21705473.5512
1982-01-21,,955.0024080000001,393898.01472,21677695.5816
1982-01-22,,955.005456,447722.58816,21686934.3468
1982-01-23,,954.9963120000001,499100.59008,21659168.712
1982-01-24,,954.9963120000001,499100.59008,21659168.712
1982-01-25,,955.0237440000001,496654.01856,21742613.634
1982-01-26,,955.0359360000001,472188.30336,21779790.7212
1982-01-27,,955.0359360000001,494207.44704,21779790.7212
1982-01-28,,955.038984,464848.58879999997,21789091.1604
1982-01-29,,955.038984,440382.8736,21789091.1604
1982-01-30,,955.0359360000001,415917.1584,21779790.7212
1982-01-31,,955.0328880000001,391451.4432,21770490.282
1982-02-01,,955.026792,366985.728,21751914.073200002
1982-02-02,,955.026792,342520.01279999997,21751914.073200002
1982-02-03,,955.026792,366985.728,21751914.073200002
1982-02-04,,955.026792,293588.5824,21751914.073200002
1982-02-05,,955.026792,244657.152,21751914.073200002
1982-02-06,,955.026792,210405.15072,21751914.073200002
1982-02-07,,955.008504,244657.152,21696197.7816
1982-02-08,,954.993264,342520.01279999997,21649917.612000003
1982-02-09,,954.9963120000001,354752.8704,21659168.712
1982-02-10,,954.99936,342520.01279999997,21668432.1468
1982-02-11,,954.993264,318054.2976,21649917.612000003
1982-02-12,,955.0024080000001,305821.44,21677695.5816
1982-02-13,,955.0024080000001,318054.2976,21677695.5816
1982-02-14,,955.020696,562711.4495999999,21733337.8644
1982-02-15,,955.096896,954162.8928,21966416.2452
1982-02-16,,955.188336,1223285.76,22249487.5704
1982-02-17,,955.234056,1607397.4886399999,22392275.215200003
1982-02-18,,955.3712160000001,2471037.2352,22808957.094
1982-02-19,,955.419984,3841117.2864,22958701.566
1982-02-20,,955.493136,4697417.3184,23184934.1328
1982-02-21,,955.4657040000001,5602648.7808,23099737.669200003
1982-02-22,,955.386456,4232568.7296,22855644.312000003
1982-02-23,,955.291968,3058214.4,22567922.7672
1982-02-24,,955.2279599999999,2126070.65088,22373156.275200002
1982-02-25,,955.185288,1590271.488,22239989.7744
1982-02-26,,955.167,1350507.47904,22183064.6724
1982-02-27,,955.1761440000001,1345614.336,22211521.056
1982-02-28,,955.191384,1431244.3392,22258997.701199997
1982-03-01,,955.2432,1734619.20768,22420978.2948
1982-03-02,,955.2706320000001,2260632.08448,22503646.124399997
1982-03-03,,955.2584400000001,2201914.368,22466863.7508
1982-03-04,,955.2432,2074692.64896,22420978.2948
1982-03-05,,955.240152,1971936.64512,22411394.1552
1982-03-06,,955.2310080000001,1866734.0697599999,22382715.7452
1982-03-07,,955.2279599999999,1822695.7824,22373156.275200002
1982-03-08,,955.221864,1785997.2096,22354037.3352
1982-03-09,,955.2279599999999,1773764.352,22373156.275200002
1982-03-10,,955.209672,1668561.77664,22315898.1336
1982-03-11,,955.237104,1886306.64192,22401822.3504
1982-03-12,,955.2462480000002,1998848.93184,22430130.7164
1982-03-13,,955.2432,1945024.3584,22420978.2948
1982-03-14,,955.255392,2108944.65024,22457698.9944
1982-03-15,,955.255392,2167662.36672,22457698.9944
1982-03-16,,955.2584400000001,2128517.2224,22466863.7508
1982-03-17,,955.2523440000001,2033100.93312,22448484.8988
1982-03-18,,955.237104,1949917.50144,22401822.3504
1982-03-19,,955.234056,1891199.78496,22392275.215200003
1982-03-20,,955.234056,1854501.2121599999,22392275.215200003
1982-03-21,,955.2310080000001,1817802.63936,22382715.7452
1982-03-22,,955.2310080000001,1778657.49504,22382715.7452
1982-03-23,,955.224912,1600057.77408,22363596.805200003
1982-03-24,,955.191384,1316255.47776,22258997.701199997
1982-03-25,,955.1791920000001,1240411.76064,22221006.5172
1982-03-26,,955.1761440000001,1242858.33216,22211521.056
1982-03-27,,955.1761440000001,1326041.76384,22211521.056
1982-03-28,,955.188336,1485068.91264,22249487.5704
1982-03-29,,955.203576,1556019.48672,22297050.5592
1982-03-30,,955.203576,1541340.0576,22297050.5592
1982-03-31,,955.206624,1492408.6272,22306363.3332
1982-04-01,,955.19748,1465496.34048,22278030.297599997
1982-04-02,,955.1944320000001,1394545.7664,22268507.832000002
1982-04-03,,955.188336,1345614.336,22249487.5704
1982-04-04,,955.1791920000001,1306469.19168,22221006.5172
1982-04-05,,955.1791920000001,1299129.47712,22221006.5172
1982-04-06,,955.1791920000001,1286896.61952,22221006.5172
1982-04-07,,955.173096,1174354.3296,22202023.26
1982-04-08,,955.167,1110743.4700799999,22183064.6724
1982-04-09,,955.163952,1100957.184,22173566.8764
1982-04-10,,955.1609040000001,1247751.4752,22164093.75
1982-04-11,,955.1791920000001,1396992.33792,22221006.5172
1982-04-12,,955.2005280000001,1492408.6272,22287540.428400002
1982-04-13,,955.209672,1458156.62592,22315898.1336
