date,storage(m3),wse(m),outflow(m3/d),inflow(m3/d),avg air temperature (C),min air temperature (C),max air temperature (C)
1982-01-01,75375495.84,752.9017200000001,110095.7184,176715.8608896,-5.205477199999999,-9.083285999999998,-1.144333599999996
1982-01-02,75444570.72,752.904768,110095.7184,179162.4324096,-7.1554927999999975,-9.394399599999998,-4.722139999999998
1982-01-03,75540782.16,752.91696,110095.7184,206319.37628159998,-5.266588799999997,-7.605496399999998,-3.3999071999999977
1982-01-04,75661663.2,752.920008,110095.7184,230980.8172032,-6.477709599999999,-7.605496399999998,-5.4999239999999965
1982-01-05,75782544.24,752.923056,110095.7184,230980.8172032,-11.172191599999998,-19.4222576,-7.605496399999998
1982-01-06,75898491.36,752.923056,161473.72032,277416.7446528,-15.755561599999998,-24.4834092,-7.133270399999999
1982-01-07,76237698.36,753.063264,225084.57984,564301.721088,-9.772180399999998,-16.7833476,-1.3610019999999956
1982-01-08,76489328.28,753.102888,225084.57984,476714.46067199996,0.09456520000000523,-3.855466399999999,-3.1221271999999978
1982-01-09,76509063.96000001,753.105936,225084.57984,244828.41200639997,-2.5943451999999994,-5.966594399999996,1.9668024000000024
1982-01-10,76605275.4,753.121176,225084.57984,321308.23772160005,-3.616575599999999,-5.811037599999999,-0.8332199999999972
1982-01-11,76740958.2,753.142512,225084.57984,360771.4363392,-0.07210279999999614,-3.0110151999999992,3.2890352000000043
1982-01-12,76818667.44,753.154704,176153.14944,253856.26091520002,-1.2054451999999998,-1.6887823999999974,-0.6776631999999978
1982-01-13,77072764.32000001,753.194328,110095.7184,364196.6364672,1.305686000000005,-0.6776631999999978,-3.1221271999999978
1982-01-14,77799284.04,753.3071040000001,110095.7184,836605.131264,1.7445784000000017,0.6445696000000005,2.200137600000005
1982-01-15,78583777.32000001,753.429024,112542.28992,897035.4478079999,-0.6221071999999985,-3.2443503999999983,0.8779048000000031
1982-01-16,79454614.2,753.5631360000001,112542.28992,983374.9567488,-2.944347999999998,-4.566583199999997,1.1112400000000022
1982-01-17,80168799.12,753.672864,112542.28992,826720.9823232001,-1.2721123999999975,-2.1554527999999973,-0.2109927999999961
1982-01-18,80447565.6,753.715536,112542.28992,391304.6489088,-2.438788399999998,-7.061047599999998,2.200137600000005
1982-01-19,80805274.8,753.7704,78290.28864,436003.5105792,-4.9888087999999975,-9.549956399999997,-0.5221063999999984
1982-01-20,81218490.6,753.819168,0.0,413225.929728,-4.555471999999998,-5.344367199999999,-2.466566399999998
1982-01-21,81817961.88,753.83136,0.0,599483.4195456,-5.977705599999998,-9.316621199999998,-3.477685599999999
1982-01-22,83585538.72,753.83136,0.0,1767574.5260544,-6.155484799999996,-6.511043199999998,-5.266588799999997
1982-01-23,86320163.88,754.4074320000001,2446.57152,2737077.4222848,2.222360000000002,-6.199929599999997,6.011279200000004
1982-01-24,92107652.04,755.437656,14679.42912,5802166.688256,-0.25543759999999693,-3.3999071999999977,2.2779160000000047
1982-01-25,94425360.96000001,755.7668400000001,4893.14304,2322603.7410816,-1.6387819999999955,-3.088793599999997,-0.8332199999999972
1982-01-26,95877166.92,755.971056,2446.57152,1454242.111488,-0.37766079999999747,-1.3776687999999986,1.3445752000000049
1982-01-27,97383246.0,756.181368,2446.57152,1508531.5335168,-0.9165539999999979,-2.3110095999999984,0.25567760000000206
1982-01-28,98202276.72,756.263664,2446.57152,821485.3192704,-0.9165539999999979,-2.3110095999999984,0.25567760000000206
1982-01-29,99169325.04,756.428256,2446.57152,969502.8962304,0.0001200000000025625,-1.3776687999999986,1.5001320000000042
1982-01-30,100326329.28,756.5867519999999,2446.57152,1159454.7090432001,0.5056796000000006,-1.299890399999999,2.6668079999999996
1982-01-31,101269941.48,756.714768,2446.57152,946064.7410688,-0.8998871999999984,-1.6110039999999977,-0.05543599999999671
1982-02-01,102123509.64,756.830592,2446.57152,856006.4434176,-0.7443303999999991,-1.6110039999999977,0.411234400000005
1982-02-02,102827826.72,756.92508,2446.57152,706765.5806976,0.400123200000003,-1.2221119999999956,1.5001320000000042
1982-02-03,103464302.4,757.0012800000001,2446.57152,638922.1524479999,-3.7721323999999967,-11.649973199999998,0.17789920000000237
1982-02-04,104188355.16,757.1079599999999,2446.57152,726509.412864,-10.283295599999999,-15.305557999999998,-5.811037599999999
1982-02-05,104643509.28,757.165872,2446.57152,457606.7371008,-11.233303199999998,-17.5611316,-5.0332535999999966
1982-02-06,105133200.84,757.2329280000001,2446.57152,492127.861248,-8.961062799999999,-15.461114799999999,-3.555463999999997
1982-02-07,105571086.24,757.2908400000001,2446.57152,440333.9421696,-12.2333112,-19.8167052,-2.855458399999998
1982-02-08,105963332.88,757.342656,2446.57152,394705.38332160003,-9.516622799999999,-14.7611092,-3.477685599999999
1982-02-09,106586240.28,757.424952,2446.57152,625343.680512,-13.377764799999998,-19.8944836,-3.7110207999999982
1982-02-10,107490381.12,757.5438240000001,2446.57152,906577.076736,-11.861085999999998,-20.355598399999998,-3.477685599999999
1982-02-11,108262539.60000001,757.64136,2446.57152,774609.0089472,-7.8832764,-9.705513199999999,-6.277707999999999
1982-02-12,109092671.64,757.7541360000001,0.0,830121.716736,-3.2387947999999973,-6.5888215999999975,-1.4554471999999983
1982-02-13,111373376.16,757.8669120000001,0.0,2280693.970944,-0.5221063999999984,-1.4554471999999983,6.089057600000004
1982-02-14,114591525.48,758.4582240000001,9786.28608,3227933.0663423995,2.950143600000004,-0.8332199999999972,5.233495200000004
1982-02-15,121489145.64,759.31776,7339.71456,6904958.800896,1.027906000000005,-0.5998847999999981,2.8223648000000026
1982-02-16,125682977.64,759.826776,7339.71456,4201179.2169984,1.9168020000000041,-1.299890399999999,4.533489599999999
1982-02-17,128823417.72,760.20168,9786.28608,3150229.9548671995,0.1501212000000045,-3.2443503999999983,2.3556944000000044
1982-02-18,132002095.68,760.576584,7339.71456,3186023.2962048,-2.3665655999999977,-3.8665775999999976,-1.766560799999997
1982-02-19,135142535.76,760.84176,4893.14304,3145336.8118271995,0.9723500000000023,-1.766560799999997,5.700165600000002
1982-02-20,138866411.88,761.372112,14679.42912,3738557.0082815997,1.1779072,-1.4554471999999983,7.416846000000003
1982-02-21,142473107.4,761.7805440000001,12232.8576,3618919.6609536,-2.7276795999999983,-8.772172399999997,0.33345600000000175
1982-02-22,144291256.92000002,761.9847599999999,7339.71456,1825484.8739328,-5.955483199999998,-9.861069999999998,-2.233231199999997
1982-02-23,145495133.4,762.118872,4893.14304,1208777.5908864,-5.3721451999999985,-7.838831599999997,-2.9332367999999978
1982-02-24,147110992.2,762.298704,4893.14304,1620755.7691392,-3.8665775999999976,-6.905490799999997,-0.05543599999999671
1982-02-25,148022533.92000002,762.3992880000001,4893.14304,916436.7599616,-1.3498907999999972,-5.811037599999999,2.8223648000000026
1982-02-26,148878569.04,762.493776,4893.14304,860924.0521728,-1.0776663999999982,-1.999895999999998,1.577910400000004
1982-02-27,149569317.84,762.569976,4893.14304,695633.6802816,-2.272120399999997,-7.527717999999998,3.0557000000000016
1982-02-28,150284736.24,762.64008,4893.14304,720319.5869184,-1.9498955999999978,-11.649973199999998,6.477949600000002
1982-03-01,151048260.36,762.73152,4893.14304,768419.1830016,0.40567880000000045,-2.466566399999998,3.2890352000000043
1982-03-02,151720506.96,762.804672,4893.14304,677137.5995904,-0.18321479999999823,-1.6887823999999974,2.744586400000003
1982-03-03,152448260.16,762.8839200000001,2446.57152,730203.7358591999,-0.8387755999999982,-1.9221175999999982,1.811245600000003
1982-03-04,153039097.08,762.947928,2446.57152,593293.5936,-0.5443287999999988,-2.466566399999998,3.6834828000000037
1982-03-05,153576894.36,763.0058400000001,2446.57152,540251.9230464,-1.3332239999999977,-5.344367199999999,2.9001432000000023
