date,inflow(m3/d),avg gain (m3/d),outflow(m3/d)
1982-01-01,7076854.915891199,685040.0255999999,3302871.552
1982-01-02,7871012.0312832,782902.8864,3400734.4128
1982-01-03,6417993.205555201,782902.8864,3400734.4128
1982-01-04,7006467.0532607995,685040.0255999999,3302871.552
1982-01-05,6953645.574143999,831834.3168,3547528.704
1982-01-06,7670588.892364799,880765.7472,4183637.2992
1982-01-07,5950967.168102399,1027560.0384,4917608.7552
1982-01-08,5029906.387968,929697.1775999999,7095057.408
1982-01-09,7214694.7553280005,954162.8928,8318343.168
1982-01-10,7223184.358502399,1052025.7536,5578183.0656
1982-01-11,6172284.027801599,513780.0192,4648485.888
1982-01-12,6435951.040511999,538245.7344,4648485.888
1982-01-13,6175415.6393472,636108.5952,4550623.0272
1982-01-14,7298098.378444799,880765.7472,3914514.432
1982-01-15,7382162.575871999,660574.3104,3302871.552
1982-01-16,8685426.7588608,636108.5952,3229474.4063999997
1982-01-17,7201899.1862784,636108.5952,3229474.4063999997
1982-01-18,8086114.5993216,611642.88,3205008.6912
1982-01-19,6951321.3312,611642.88,3205008.6912
1982-01-20,6838460.9869824,587177.1648,3205008.6912
1982-01-21,6713734.7708928,342520.01279999997,3278405.8368
1982-01-22,6772256.761651199,807368.6015999999,3425200.128
1982-01-23,7520271.538176,709505.7408,3278405.8368
1982-01-24,7453700.3271168005,660574.3104,3205008.6912
1982-01-25,8306208.1732608,611642.88,3180542.976
1982-01-26,6465921.541631999,611642.88,3180542.976
1982-01-27,7182204.2855424,660574.3104,3205008.6912
1982-01-28,6909313.6982015995,587177.1648,3156077.2608
1982-01-29,6064928.469504,611642.88,3156077.2608
1982-01-30,6364951.5350016,587177.1648,3156077.2608
1982-01-31,6537752.8814592,660574.3104,3205008.6912
1982-02-01,8377330.0073472,611642.88,3156077.2608
1982-02-02,5991653.65248,660574.3104,3205008.6912
1982-02-03,6419485.6141824,611642.88,3156077.2608
1982-02-04,6582231.5516928,880765.7472,3425200.128
1982-02-05,5078152.7783424,856300.032,4403828.736
1982-02-06,4232617.6610304,831834.3168,4281500.16
1982-02-07,6667934.9520384,905231.4624,4036843.008
1982-02-08,6591846.577766401,758437.1712,4942074.4704
1982-02-09,5513618.0431872,782902.8864,4575088.7424
1982-02-10,6786838.3279104,978628.608,4281500.16
1982-02-11,5418201.7539072,733971.456,3914514.432
1982-02-12,6604764.475392,489314.304,3669857.28
1982-02-13,6455743.8041088,587177.1648,3596460.1344
1982-02-14,7911258.132787201,587177.1648,3474131.5584
1982-02-15,8466507.539251199,636108.5952,3694322.9952
1982-02-16,10922645.1538944,831834.3168,3865583.0016
1982-02-17,10271930.52672,758437.1712,3620925.8496
1982-02-18,8102310.902783999,685040.0255999999,3547528.704
1982-02-19,7673867.2982016,318054.2976,4208103.0144
1982-02-20,6558964.6565376,513780.0192,5455854.4896
1982-02-21,8023947.2169984,1198820.0448,6214291.6608
1982-02-22,10349853.829632001,1272217.1904,6287688.8064
1982-02-23,8292531.838463999,1174354.3296,6189825.9456
1982-02-24,7659285.731942399,1272217.1904,6116428.8
1982-02-25,7031397.6170496,1027560.0384,7168454.5536
1982-02-26,7043972.994662399,954162.8928,7192920.2688
1982-02-27,7950256.4828160005,978628.608,7241851.6992
1982-02-28,6774556.53888,978628.608,7217385.984
1982-03-01,7442764.152422399,146794.2912,8147083.1616
1982-03-02,7333671.528345601,880765.7472,8905520.332799999
1982-03-03,6771424.927334399,-318054.2976,9443766.0672
1982-03-04,6858327.1477248,-97862.8608,13456143.36
1982-03-05,6931675.3618944,24465.7152,16367563.468799999
1982-03-06,6868798.4738304,1394545.7664,17664246.3744
1982-03-07,7597925.7182208,905231.4624,17566383.5136
1982-03-08,7500723.4317312,1174354.3296,17957834.9568
1982-03-09,8574866.191871999,1223285.76,18129094.9632
1982-03-10,9552907.6227072,1370080.0511999999,18447149.2608
1982-03-11,7290832.0610304,1394545.7664,18178026.3936
1982-03-12,7228004.1043968005,1419011.4816,18324820.6848
1982-03-13,8965387.9378944,1370080.0511999999,18202492.1088
1982-03-14,8240322.0022272,1419011.4816,18275889.2544
1982-03-15,8751655.4499072,1467942.912,18569477.8368
1982-03-16,9202485.1838976,1419011.4816,18422683.5456
1982-03-17,6223833.289728,73397.1456,18593943.552
1982-03-18,8113687.460352,1467942.912,23903003.7504
1982-03-19,9776230.671052799,1883860.0704,24367852.3392
1982-03-20,8962770.106368,1932791.5008,24367852.3392
1982-03-21,9016227.69408,1859394.3551999999,24269989.4784
1982-03-22,7267540.70016,1785997.2096,24172126.6176
1982-03-23,8194032.8690688005,1834928.64,24221058.048
1982-03-24,8535231.733248001,1712600.064,20428872.191999998
1982-03-25,7660093.100543999,1737065.7792,25444343.808
1982-03-26,7026137.4882816,0.0,25444343.808
1982-03-27,7311212.001792,733971.456,32539401.216
1982-03-28,8804794.9833216,2446571.52,36209258.496
1982-03-29,10266009.8236416,2446571.52,36453915.648
1982-03-30,9877078.3491072,2691228.672,36453915.648
1982-03-31,10421318.1837312,2446571.52,36453915.648
1982-04-01,9231159.002112,2691228.672,36453915.648
1982-04-02,11587990.2787584,2446571.52,36453915.648
1982-04-03,9782738.551296,2691228.672,36453915.648
1982-04-04,9386736.4850688,2446571.52,36453915.648
1982-04-05,14596343.5511808,6361085.952,34741315.584
1982-04-06,9488685.1203072,2275311.5136,22997772.288
1982-04-07,8376669.4330368005,2079585.792,22777580.8512
1982-04-08,9154777.0392576,1932791.5008,22753115.136
1982-04-09,8670918.5897472,2055120.0768,22777580.8512
1982-04-10,8702503.8280704,2006188.6464,22581855.1296
1982-04-11,10505308.984012801,2324242.944,22826512.2816
1982-04-12,14885503.839129599,-244657.152,23511552.3072
1982-04-13,13289898.825216,2446571.52,34007344.128
1982-04-14,11969166.1215744,2935885.824,34496658.432
1982-04-15,15794527.487385599,2935885.824,34496658.432
1982-04-16,13059798.77376,2935885.824,34496658.432
1982-04-17,13275121.5332352,2935885.824,34252001.28
1982-04-18,13185356.824166398,3180542.976,34496658.432
1982-04-19,12102895.7208576,2935885.824,34252001.28
1982-04-20,11945483.3092608,2935885.824,34252001.28
1982-04-21,13012139.560550401,2935885.824,34252001.28
1982-04-22,11730870.0555264,3180542.976,34496658.432
1982-04-23,15258508.133068798,3180542.976,34741315.584
1982-04-24,18806159.1656448,3425200.128,34985972.736
1982-04-25,22119844.563763198,4159171.584,35475287.04
1982-04-26,24674774.736384,4159171.584,35719944.192
1982-04-27,27781529.115340803,4648485.888,35964601.344
1982-04-28,31183193.2253184,4893143.04,36209258.496
1982-04-29,34558018.4457216,4648485.888,37677201.408
1982-04-30,35952344.0206848,4648485.888,38900487.168
1982-05-01,36371417.2563456,4648485.888,39389801.472
1982-05-02,42076650.780979194,5137800.192,39879115.776
1982-05-03,48194718.7838976,4648485.888,40613087.232
1982-05-04,50646158.9812224,6116428.8,44038287.36
1982-05-05,45050996.7092736,5627114.496,44527601.664
1982-05-06,42540863.261184,4893143.04,43793630.208
1982-05-07,40883580.1792512,4893143.04,42325687.296
1982-05-08,42106034.1049344,4893143.04,43793630.208
1982-05-09,44894856.5148672,4893143.04,43793630.208
1982-05-10,40446353.382911995,4403828.736,43304315.904
1982-05-11,38842503.422975995,3914514.432,43059658.752
1982-05-12,34667404.6583808,3914514.432,42815001.6
1982-05-13,34199987.1694848,3669857.28,42570344.448
1982-05-14,37597418.710732795,3914514.432,42815001.6
1982-05-15,43322909.847551994,4403828.736,43304315.904
1982-05-16,49315028.3486208,5137800.192,44038287.36
1982-05-17,56012982.733209595,5627114.496,44527601.664
