date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse_tail(m)
1998-04-20,146990016.92159998,146060319.74400002,45677490.27840001,10.13,133.91997600000002
1998-04-21,169180420.608,167590149.11999997,42790535.884799995,10.39,134.017512
1998-04-22,153546828.5952,155601948.672,48050664.65280001,10.57,133.92912
1998-04-23,176202080.87039998,172972606.46400002,43426644.480000004,10.68,134.04799200000002
1998-04-24,214026076.56960005,217744865.28,48026198.9376,10.65,134.30097600000002
1998-04-25,246492080.64,243678523.392,44331875.9424,10.63,134.55396
1998-04-26,227653479.936,226307865.60000002,44576533.0944,10.87,134.374128
1998-04-27,205830061.97759998,201108178.944,45041381.683199994,11.13,134.18515200000002
1998-04-28,215909936.64,210160493.56800002,46949707.4688,11.45,134.307072
1998-04-29,206270444.8512,208937207.808,43426644.480000004,11.87,134.267448
1998-04-30,217059825.25439999,218968151.03999996,42863933.03039999,12.22,134.364984
1998-05-01,240375651.84,241721266.176,41836372.992000006,12.06,134.499096
1998-05-02,244926274.8672,248571666.43199998,41102401.536000006,11.67,134.56615200000002
1998-05-03,275361624.576,271814095.872,56099884.9536,11.64,134.77036800000002
1998-05-04,293343925.248,290408039.424,61433410.867199995,12.01,134.849616
1998-05-05,297503096.83199996,302151582.72,71195231.23200001,12.67,134.880096
1998-05-06,303888648.4992,303619525.632,63659790.9504,13.18,134.944104
1998-05-07,308096751.5136,309735954.432,61971656.60159999,13.4,134.983728
1998-05-08,312867565.9776,316097040.38399994,66155293.9008,13.36,134.992872
1998-05-09,330800935.2192,320745526.272,82938774.528,13.18,135.03859200000002
1998-05-10,314066386.0224,318054297.59999996,68283811.12320001,13.0,134.96544
1998-05-11,304206702.7968,300438982.656,60161193.6768,12.98,134.928864
1998-05-12,288695439.36,296035153.92,52919341.97759999,12.95,134.87095200000002
1998-05-13,314873754.624,311203897.344,67182853.9392,12.88,134.992872
1998-05-14,282897064.8576,285270239.232,50986550.476799995,12.45,134.83437600000002
1998-05-15,306995794.3296,307044725.76,71635614.1056,12.29,134.94715200000002
1998-05-16,304524757.0944,303374868.48,67036059.647999994,12.51,134.928864
1998-05-17,306457548.5952,306800068.608,57836950.7328,12.5,134.959344
1998-05-18,314751426.048,315607726.08,63806585.24159999,12.34,134.992872
1998-05-19,306090562.8672,309491297.28,65470253.8752,12.09,134.90448
1998-05-20,316953340.416,309246640.128,78461548.6464,12.25,134.97153600000001
1998-05-21,288670973.6448,295301182.464,66913731.072,12.66,134.73379200000002
1998-05-22,344036887.1424,350838355.96799994,98865955.1232,12.89,135.053832
1998-05-23,398203980.5952,420565644.288,178085940.94080004,13.34,135.340344
1998-05-24,345578227.2,437202330.624,193841861.52960002,13.53,135.40435200000002
1998-05-25,371365091.02079993,405152243.71199995,157950657.3312,13.33,135.337296
1998-05-26,397151954.84160006,437691644.92800003,190759181.4144,12.43,135.431784
1998-05-27,414229024.05120003,530416705.5360001,278248578.96959996,11.87,135.83412
1998-05-28,528948762.62399995,528459448.32,298359396.864,12.03,135.934704
1998-05-29,457777997.1072,482708560.896,214588788.01919997,12.09,135.584184
1998-05-30,487234718.208,473411589.11999995,249574760.75520003,11.98,135.65733600000002
1998-05-31,424847144.448,427905358.84800005,214221802.29119998,12.26,135.337296
