date,storage(m3),wse(m),outflow(m3/d),inflow(m3/d),avg air temperature (C),min air temperature (C),max air temperature (C)
1982-01-01,52417966.08,,636108.5952,636108.5952,,,
1982-01-02,52311886.800000004,,643448.30976,537364.9686528,,,
1982-01-03,52258847.160000004,,641001.73824,587960.0676864,,,
1982-01-04,52039287.72,,638555.16672,418999.83851519995,,,
1982-01-05,51914706.24,,633662.02368,509082.60188160004,,,
1982-01-06,51755587.32,,636108.5952,476983.5835392,,,
1982-01-07,51648274.56,,641001.73824,533695.1113728,,,
1982-01-08,51410212.92,,641001.73824,402950.32934399997,,,
1982-01-09,51172151.28,,638555.16672,400503.757824,,,
1982-01-10,50881050.0,,636108.5952,345015.5157504,,,
1982-01-11,50747834.160000004,,626322.30912,493106.489856,,,
1982-01-12,50588715.24,,623875.7376,464750.7259392,,,
1982-01-13,50270477.4,,621429.16608,303179.1427584,,,
1982-01-14,50112591.96,,626322.30912,468445.04893439997,,,
1982-01-15,50773737.24,,641001.73824,1302138.7600896,,,
1982-01-16,51304133.64,,638555.16672,1168947.4065408001,,,
1982-01-17,51463252.56,,633662.02368,792787.0353408001,,,
1982-01-18,51490389.12,,628768.88064,655901.3587967999,,,
1982-01-19,51516292.2,,626322.30912,652231.5015167999,,,
1982-01-20,51675411.12,,628768.88064,787893.8923008001,,,
1982-01-21,51755587.32,,623875.7376,704049.8863104,,,
1982-01-22,51940609.32,,621429.16608,806463.3701376,,,
1982-01-23,53706952.68,,636108.5952,2402459.8354944,,,
1982-01-24,57322282.56,,719292.02688,4334615.2276992,,,
1982-01-25,61569154.2,,655681.16736,4902562.340352,,,
1982-01-26,64501136.160000004,,621429.16608,3553400.4756480004,,,
1982-01-27,66570915.6,,626322.30912,2696097.3493248,,,
1982-01-28,67908007.92,,609196.30848,1946296.5755904,,,
1982-01-29,69291972.48,,614089.45152,1998066.0289535997,,,
1982-01-30,70388536.2,,623875.7376,1720429.092864,,,
