date,max_temp(C),min_temp(C),avg discharge (cfs),outflow(m3/d)
2002-08-01 00:00:00+00:00,,,55.0,134561.4336
2002-08-02 00:00:00+00:00,,,54.0,132114.86208
2002-08-03 00:00:00+00:00,,,52.0,127221.71904000001
2002-08-04 00:00:00+00:00,,,50.0,122328.576
2002-08-05 00:00:00+00:00,,,50.0,122328.576
2002-08-06 00:00:00+00:00,,,50.0,122328.576
2002-08-07 00:00:00+00:00,,,49.7,121594.604544
2002-08-08 00:00:00+00:00,,,49.1,120126.661632
2002-08-09 00:00:00+00:00,,,47.2,115478.17574400001
2002-08-10 00:00:00+00:00,,,44.9,109851.061248
2002-08-11 00:00:00+00:00,,,42.6,104223.946752
2002-08-12 00:00:00+00:00,,,40.9,100064.77516800001
2002-08-13 00:00:00+00:00,,,39.5,96639.57504
2002-08-14 00:00:00+00:00,,,38.2,93459.032064
2002-08-15 00:00:00+00:00,,,36.6,89544.517632
2002-08-16 00:00:00+00:00,,,34.9,85385.34604799999
2002-08-17 00:00:00+00:00,,,34.4,84162.060288
2002-08-18 00:00:00+00:00,,,34.0,83183.43168
2002-08-19 00:00:00+00:00,,,33.7,82449.46022400001
2002-08-20 00:00:00+00:00,,,33.6,82204.80307200001
2002-08-21 00:00:00+00:00,,,36.8,90033.83193599999
2002-08-22 00:00:00+00:00,,,54.5,133338.14784
2002-08-23 00:00:00+00:00,,,51.8,126732.40473599998
2002-08-24 00:00:00+00:00,,,60.9,148996.205568
2002-08-25 00:00:00+00:00,,,61.0,149240.86271999998
2002-08-26 00:00:00+00:00,,,48.9,119637.34732799999
2002-08-27 00:00:00+00:00,,,44.1,107893.804032
2002-08-28 00:00:00+00:00,,,43.5,106425.86111999999
2002-08-29 00:00:00+00:00,,,53.8,131625.547776
2002-08-30 00:00:00+00:00,,,56.8,138965.26233599999
2002-08-31 00:00:00+00:00,,,47.0,114988.86144
2002-09-01 00:00:00+00:00,,,40.4,98841.489408
2002-09-02 00:00:00+00:00,,,36.8,90033.83193599999
2002-09-03 00:00:00+00:00,,,35.3,86363.97465599999
2002-09-04 00:00:00+00:00,,,34.0,83183.43168
2002-09-05 00:00:00+00:00,,,32.6,79758.231552
2002-09-06 00:00:00+00:00,,,32.7,80002.88870400001
2002-09-07 00:00:00+00:00,,,42.6,104223.946752
2002-09-08 00:00:00+00:00,,,54.2,132604.17638400002
2002-09-09 00:00:00+00:00,,,45.0,110095.7184
2002-09-10 00:00:00+00:00,,,37.8,92480.40345599999
2002-09-11 00:00:00+00:00,,,34.8,85140.68889599999
2002-09-12 00:00:00+00:00,,,32.7,80002.88870400001
2002-09-13 00:00:00+00:00,,,31.1,76088.374272
2002-09-14 00:00:00+00:00,,,29.5,72173.85984
2002-09-15 00:00:00+00:00,,,29.1,71195.231232
2002-09-16 00:00:00+00:00,,,28.7,70216.602624
2002-09-17 00:00:00+00:00,,,36.0,88076.57472
2002-09-18 00:00:00+00:00,,,63.4,155112.634368
2002-09-19 00:00:00+00:00,,,48.1,117680.090112
2002-09-20 00:00:00+00:00,,,38.1,93214.374912
2002-09-21 00:00:00+00:00,,,34.0,83183.43168
2002-09-22 00:00:00+00:00,,,32.3,79024.26009599998
2002-09-23 00:00:00+00:00,,,31.9,78045.631488
2002-09-24 00:00:00+00:00,,,31.4,76822.345728
2002-09-25 00:00:00+00:00,,,30.2,73886.45990399999
2002-09-26 00:00:00+00:00,,,29.6,72418.516992
2002-09-27 00:00:00+00:00,,,30.9,75599.059968
2002-09-28 00:00:00+00:00,,,37.7,92235.74630400001
2002-09-29 00:00:00+00:00,,,34.7,84896.031744
2002-09-30 00:00:00+00:00,,,47.6,116456.80435199999
2002-10-01 00:00:00+00:00,,,50.6,123796.518912
2002-10-02 00:00:00+00:00,,,41.4,101288.06092799999
2002-10-03 00:00:00+00:00,,,38.1,93214.374912
2002-10-04 00:00:00+00:00,,,42.5,103979.2896
