date,avg gain (m3/d),computed flow(m3/d),wse(m),storage(m3)
1982-01-01,5215013.9891711995,6391814.8902912,1698.110904,689518638.0611999
1982-01-02,4480479.821721599,5657280.7228416,1698.184056,692558080.7988001
1982-01-03,4741969.3857792,5918770.2868992,1698.263304,695859033.6312
1982-01-04,5144626.1265408,6321427.0276608,1698.3516960000002,699562631.34
1982-01-05,4365270.7688448,5542071.6699648,1698.418752,702389002.7424
1982-01-06,4169960.9644032,5358994.723123199,1698.46752,704445127.5588001
1982-01-07,3722140.5133823995,4923407.1297023995,1698.491904,705478475.4288001
1982-01-08,2898942.5940480004,4100209.210368,1698.443136,703413321.5388001
1982-01-09,4491856.3792896,5693122.9956096,1698.4035119999999,701742264.5088
1982-01-10,5253596.4220416,6454863.0383616,1698.4492320000002,703670970.8412
1982-01-11,4740941.8257408,5942208.4420608,1698.491904,705478475.4288001
1982-01-12,4980143.1232512,6181409.7395712,1698.540672,707549648.7011999
1982-01-13,4917780.015206399,6119046.6315264,1698.5924880000002,709754185.8311999
1982-01-14,5206279.728844799,6417332.631244799,1698.671736,713137769.4888
1982-01-15,5226806.4638976,6437859.3662976,1698.760128,716933347.8011999
1982-01-16,6256641.8138112,7467694.7162112,1698.872904,721807678.3824
1982-01-17,5354737.6886784,6565790.5910784,1698.964344,725780100.7224001
1982-01-18,5115683.1854592,6326736.0878592,1699.0496880000003,729513449.9688001
1982-01-19,5128625.5488,6339678.4512,1699.1350320000001,733259763.09
1982-01-20,5040230.919782399,6251283.822182399,1699.217328,736893212.7911999
1982-01-21,5147928.998092799,6371214.758092799,1699.296576,740328528.6
1982-01-22,4729369.5424512,5964888.1600512,1699.3758240000002,743675576.58
1982-01-23,5869202.747904,7104721.365503999,1699.482504,748211390.91
1982-01-24,4698762.932736,5934281.5503360005,1699.561752,751601228.3111999
1982-01-25,4732158.633984,5967677.251583999,1699.641,755000008.4424
1982-01-26,4611420.329472,5854278.661632,1699.7172,758285382.4224
1982-01-27,4990198.5321984,6237950.0073984,1699.802544,761978877.9300001
1982-01-28,4507000.656998401,5754752.1321984,1699.8756960000003,765164722.4088001
1982-01-29,4489238.5477632005,5736990.0229632,1699.9488480000002,768357277.0188001
1982-01-30,4521508.826111999,5781493.158911999,1700.0220000000002,771569875.6788001
1982-01-31,5180859.850752,6440844.183552,1700.110392,775466290.9812
1982-02-01,4791169.9390464,6051154.271846401,1700.18964,778973000.6124
1982-02-02,5218243.4635776,6478227.7963776,1700.2780320000002,782906790.3588
1982-02-03,4831562.8348416,6091547.1676416,1700.3572800000002,786453896.46
1982-02-04,4143097.6091136,5417761.3710336,1700.4212880000002,789327214.1112
1982-02-05,3221107.1318015996,4505557.1798016,1700.442624,790285245.6924
1982-02-06,3264093.393408,4548543.441408,1700.467008,791384116.02
1982-02-07,3898000.07424,5194682.97984,1700.512728,793447185.3288001
1982-02-08,4820430.9344256,6117113.8400256,1700.5554000000002,795380665.2288
1982-02-09,4292216.1432576,5588899.0488576,1700.5950240000002,797177389.2011999
