date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
1982-08-01 00:00:00+00:00,8.9,7.7,,1440.0,3523062.9888
1982-08-02 00:00:00+00:00,8.9,7.4,,1440.0,3523062.9888
1982-08-03 00:00:00+00:00,8.8,7.2,,1430.0,3498597.2736
1982-08-04 00:00:00+00:00,10.2,7.5,,1420.0,3474131.5584
1982-08-05 00:00:00+00:00,10.4,7.4,,1410.0,3449665.8432
1982-08-06 00:00:00+00:00,10.6,7.5,,1410.0,3449665.8432
1982-08-07 00:00:00+00:00,10.2,7.7,,1410.0,3449665.8432
1982-08-08 00:00:00+00:00,9.3,8.0,,1410.0,3449665.8432
1982-08-09 00:00:00+00:00,9.0,7.9,,1400.0,3425200.128
1982-08-10 00:00:00+00:00,8.8,7.7,,1400.0,3425200.128
1982-08-11 00:00:00+00:00,9.4,7.7,,1400.0,3425200.128
1982-08-12 00:00:00+00:00,10.1,7.4,,1390.0,3400734.4128
1982-08-13 00:00:00+00:00,10.3,7.5,,1380.0,3376268.6976
1982-08-14 00:00:00+00:00,8.5,7.8,,1370.0,3351802.9824
1982-08-15 00:00:00+00:00,10.2,7.6,,1370.0,3351802.9824
1982-08-16 00:00:00+00:00,10.2,7.5,,1360.0,3327337.2672
1982-08-17 00:00:00+00:00,10.3,7.5,,1350.0,3302871.552
1982-08-18 00:00:00+00:00,10.4,7.5,,1360.0,3327337.2672
1982-08-19 00:00:00+00:00,10.2,7.7,,1330.0,3253940.1216
1982-08-20 00:00:00+00:00,10.6,7.8,,1330.0,3253940.1216
1982-08-21 00:00:00+00:00,10.7,7.8,,1320.0,3229474.4063999997
1982-08-22 00:00:00+00:00,10.4,7.7,,1320.0,3229474.4063999997
1982-08-23 00:00:00+00:00,10.4,7.7,,1320.0,3229474.4063999997
1982-08-24 00:00:00+00:00,10.2,7.6,,1310.0,3205008.6912
1982-08-25 00:00:00+00:00,10.3,7.7,,1310.0,3205008.6912
1982-08-26 00:00:00+00:00,10.4,7.6,,1270.0,3107145.8304
1982-08-27 00:00:00+00:00,10.0,7.4,,1270.0,3107145.8304
1982-08-28 00:00:00+00:00,10.0,7.4,,1210.0,2960351.5392
1982-08-29 00:00:00+00:00,9.2,7.8,,1200.0,2935885.824
1982-08-30 00:00:00+00:00,9.9,7.6,,1170.0,2862488.6784
1982-08-31 00:00:00+00:00,10.1,7.3,,1160.0,2838022.9631999996
1982-09-01 00:00:00+00:00,10.0,7.5,,1200.0,2935885.824
1982-09-02 00:00:00+00:00,10.2,7.8,,1320.0,3229474.4063999997
1982-09-03 00:00:00+00:00,8.5,8.1,,1380.0,3376268.6976
1982-09-04 00:00:00+00:00,10.1,8.0,,1300.0,3180542.976
1982-09-05 00:00:00+00:00,10.3,7.9,,1250.0,3058214.4
