date,avg water temperature (C),min_temp(C),max_temp(C),outflow(m3/d)
1982-01-01,,,,254443.43808
1982-01-02,,,,239764.00896
1982-01-03,,,,217744.86528
1982-01-04,,,,207958.5792
1982-01-05,,,,193279.15008
1982-01-06,,,,171260.00639999998
1982-01-07,,,,156580.57728
1982-01-08,,,,156580.57728
1982-01-09,,,,159027.1488
1982-01-10,,,,168813.43488
1982-01-11,,,,168813.43488
1982-01-12,,,,190832.57856
1982-01-13,,,,198172.29312
1982-01-14,,,,234870.86592
1982-01-15,,,,371878.87104
1982-01-16,,,,1250198.04672
1982-01-17,,,,1898539.49952
1982-01-18,,,,1186587.1872
1982-01-19,,,,856300.032
1982-01-20,,,,694826.31168
1982-01-21,,,,596963.45088
1982-01-22,,,,513780.0192
1982-01-23,,,,1859394.3551999999
1982-01-24,,,,3009282.9696
1982-01-25,,,,2380514.08896
1982-01-26,,,,2123624.07936
1982-01-27,,,,1688134.3488
1982-01-28,,,,1198820.0448
1982-01-29,,,,895445.17632
1982-01-30,,,,729078.31296
1982-01-31,,,,653234.59584
1982-02-01,,,,584730.59328
1982-02-02,,,,748650.88512
1982-02-03,,,,990861.4656
1982-02-04,,,,768223.45728
1982-02-05,,,,574944.3072
1982-02-06,,,,452615.7312
1982-02-07,,,,371878.87104
1982-02-08,,,,305821.44
1982-02-09,,,,264229.72416
1982-02-10,,,,247103.72352
1982-02-11,,,,207958.5792
1982-02-12,,,,181046.29248
1982-02-13,,,,237317.43744
1982-02-14,,,,1272217.1904
1982-02-15,,,,2260632.08448
1982-02-16,,,,2813557.248
1982-02-17,,,,2380514.08896
1982-02-18,,,,2140750.08
1982-02-19,,,,3229474.4063999997
1982-02-20,,,,3205008.6912
1982-02-21,,,,2960351.5392
1982-02-22,,,,2040440.64768
1982-02-23,,,,1580485.20192
1982-02-24,,,,1247751.4752
1982-02-25,,,,1003094.3232
1982-02-26,,,,856300.032
1982-02-27,,,,758437.1712
1982-02-28,,,,670360.59648
1982-03-01,,,,748650.88512
1982-03-02,,,,895445.17632
1982-03-03,,,,875872.60416
1982-03-04,,,,1272217.1904
1982-03-05,,,,1551126.34368
1982-03-06,,,,1419011.4816
1982-03-07,,,,1259984.3328
1982-03-08,,,,1149888.6144
1982-03-09,,,,1235518.6176
1982-03-10,,,,1382312.9088
1982-03-11,,,,1406778.624
1982-03-12,,,,1186587.1872
1982-03-13,,,,1003094.3232
1982-03-14,,,,978628.608
1982-03-15,,,,1198820.0448
1982-03-16,,,,1162121.472
1982-03-17,,,,1125422.8991999999
1982-03-18,,,,1003094.3232
1982-03-19,,,,856300.032
1982-03-20,,,,817154.88768
1982-03-21,,,,875872.60416
1982-03-22,,,,924804.03456
1982-03-23,,,,934590.3206399999
1982-03-24,,,,966395.7504
1982-03-25,,,,924804.03456
1982-03-26,,,,944376.60672
1982-03-27,,,,905231.4624
1982-03-28,,,,836727.45984
1982-03-29,,,,758437.1712
1982-03-30,,,,699719.45472
1982-03-31,,,,680146.8825599999
1982-04-01,,,,626322.30912
1982-04-02,,,,584730.59328
1982-04-03,,,,516226.59072
1982-04-04,,,,459955.44576
1982-04-05,,,,423256.87296
1982-04-06,,,,393898.01472
1982-04-07,,,,364539.15648
1982-04-08,,,,337626.86976
1982-04-09,,,,313161.15456
1982-04-10,,,,305821.44
1982-04-11,,,,709505.7408
1982-04-12,,,,1174354.3296
1982-04-13,,,,1198820.0448
1982-04-14,,,,1536446.91456
1982-04-15,,,,1475282.62656
1982-04-16,,,,1308915.7632
1982-04-17,,,,1174354.3296
1982-04-18,,,,1015327.1808
1982-04-19,,,,866086.31808
1982-04-20,,,,738864.59904
1982-04-21,,,,660574.3104
1982-04-22,,,,660574.3104
1982-04-23,,,,787796.02944
1982-04-24,,,,915017.74848
1982-04-25,,,,856300.032
1982-04-26,,,,768223.45728
1982-04-27,,,,719292.02688
1982-04-28,,,,778009.74336
1982-04-29,,,,748650.88512
1982-04-30,,,,660574.3104
1982-05-01,,,,643448.30976
1982-05-02,,,,626322.30912
1982-05-03,,,,618982.59456
1982-05-04,,,,533352.59136
1982-05-05,,,,445276.01664
1982-05-06,,,,386558.30016
1982-05-07,,,,386558.30016
1982-05-08,,,,364539.15648
1982-05-09,,,,349859.72736
1982-05-10,,,,349859.72736
1982-05-11,,,,330287.1552
1982-05-12,,,,318054.2976
1982-05-13,,,,313161.15456
1982-05-14,,,,305821.44
1982-05-15,,,,293588.5824
1982-05-16,,,,288695.43936
1982-05-17,,,,281355.72479999997
1982-05-18,,,,313161.15456
1982-05-19,,,,264229.72416
1982-05-20,,,,237317.43744
1982-05-21,,,,220191.4368
1982-05-22,,,,207958.5792
1982-05-23,,,,188386.00704
1982-05-24,,,,171260.00639999998
1982-05-25,,,,151687.43424
1982-05-26,,,,149240.86272
1982-05-27,,,,139454.57663999998
1982-05-28,,,,149240.86272
1982-05-29,,,,139454.57663999998
1982-05-30,,,,107649.14688
1982-05-31,,,,95416.28928
1982-06-01,,,,90523.14624
1982-06-02,,,,83183.43168
1982-06-03,,,,80736.86016
1982-06-04,,,,75843.71712
1982-06-05,,,,75843.71712
1982-06-06,,,,75843.71712
1982-06-07,,,,63610.85952
1982-06-08,,,,22753.115136
1982-06-09,,,,24465.7152
1982-06-10,,,,22753.115136
1982-06-11,,,,19083.257856
1982-06-12,,,,19083.257856
1982-06-13,,,,46484.85888
