date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
2011-10-01 00:00:00+00:00,,,,32.0,78290.28864
2011-10-02 00:00:00+00:00,,,,31.4,76822.345728
2011-10-03 00:00:00+00:00,,,,30.1,73641.802752
2011-10-04 00:00:00+00:00,,,,30.1,73641.802752
2011-10-05 00:00:00+00:00,,,,38.3,93703.689216
2011-10-06 00:00:00+00:00,,,,43.0,105202.57536
2011-10-07 00:00:00+00:00,,,,39.3,96150.260736
2011-10-08 00:00:00+00:00,,,,37.1,90767.80339199999
2011-10-09 00:00:00+00:00,,,,34.9,85385.34604799999
2011-10-10 00:00:00+00:00,,,,37.3,91257.11769599999
2011-10-11 00:00:00+00:00,,,,40.8,99820.118016
2011-10-12 00:00:00+00:00,,,,35.9,87831.91756799999
2011-10-13 00:00:00+00:00,,,,33.9,82938.774528
2011-10-14 00:00:00+00:00,,,,33.0,80736.86016
2011-10-15 00:00:00+00:00,,,,31.7,77556.317184
2011-10-16 00:00:00+00:00,,,,36.5,89299.86047999999
2011-10-17 00:00:00+00:00,,,,35.5,86853.28896
2011-10-18 00:00:00+00:00,,,,32.6,79758.231552
2011-10-19 00:00:00+00:00,,,,31.3,76577.688576
2011-10-20 00:00:00+00:00,,,,30.9,75599.059968
2011-10-21 00:00:00+00:00,,,,31.4,76822.345728
2011-10-22 00:00:00+00:00,,,,30.8,75354.402816
2011-10-23 00:00:00+00:00,,,,30.4,74375.77420799999
2011-10-24 00:00:00+00:00,,,,30.1,73641.802752
2011-10-25 00:00:00+00:00,,,,29.9,73152.48844799999
2011-10-26 00:00:00+00:00,,,,30.1,73641.802752
2011-10-27 00:00:00+00:00,,,,30.9,75599.059968
2011-10-28 00:00:00+00:00,,,,30.2,73886.45990399999
2011-10-29 00:00:00+00:00,,,,31.0,75843.71712
2011-10-30 00:00:00+00:00,,,,30.7,75109.745664
2011-10-31 00:00:00+00:00,,,,32.5,79513.5744
2011-11-01 00:00:00+00:00,,,,30.4,74375.77420799999
2011-11-02 00:00:00+00:00,,,,30.1,73641.802752
2011-11-03 00:00:00+00:00,,,,32.5,79513.5744
2011-11-04 00:00:00+00:00,,,,36.2,88565.889024
2011-11-05 00:00:00+00:00,,,,34.0,83183.43168
2011-11-06 00:00:00+00:00,,,,34.7,84896.031744
2011-11-07 00:00:00+00:00,,,,34.9,85385.34604799999
2011-11-08 00:00:00+00:00,,,,34.7,84896.031744
2011-11-09 00:00:00+00:00,,,,33.9,82938.774528
2011-11-10 00:00:00+00:00,,,,34.2,83672.74598400001
2011-11-11 00:00:00+00:00,,,,35.1,85874.66035199999
2011-11-12 00:00:00+00:00,,,,37.5,91746.432
2011-11-13 00:00:00+00:00,,,,37.5,91746.432
2011-11-14 00:00:00+00:00,,,,36.1,88321.231872
2011-11-15 00:00:00+00:00,,,,35.5,86853.28896
2011-11-16 00:00:00+00:00,,,,31.3,76577.688576
2011-11-17 00:00:00+00:00,,,,40.2,98352.17510400001
2011-11-18 00:00:00+00:00,,,,41.7,102022.032384
2011-11-19 00:00:00+00:00,,,,35.6,87097.946112
2011-11-20 00:00:00+00:00,,,,32.3,79024.26009599998
2011-11-21 00:00:00+00:00,,,,48.5,118658.71872
2011-11-22 00:00:00+00:00,,,,45.3,110829.689856
2011-11-23 00:00:00+00:00,,,,42.2,103245.318144
2011-11-24 00:00:00+00:00,,,,40.3,98596.83225599998
2011-11-25 00:00:00+00:00,,,,41.5,101532.71808
2011-11-26 00:00:00+00:00,,,,35.8,87587.260416
2011-11-27 00:00:00+00:00,,,,36.6,89544.517632
2011-11-28 00:00:00+00:00,,,,35.8,87587.260416
2011-11-29 00:00:00+00:00,,,,36.2,88565.889024
2011-11-30 00:00:00+00:00,,,,36.6,89544.517632
2011-12-01 00:00:00+00:00,,,,32.9,80492.203008
2011-12-02 00:00:00+00:00,,,,32.0,78290.28864
2011-12-03 00:00:00+00:00,,,,30.0,73397.1456
2011-12-04 00:00:00+00:00,,,,28.0,68504.00256
2011-12-05 00:00:00+00:00,,,,26.0,63610.859520000005
2011-12-06 00:00:00+00:00,,,,26.0,63610.859520000005
2011-12-07 00:00:00+00:00,,,,26.0,63610.859520000005
2011-12-08 00:00:00+00:00,,,,26.0,63610.859520000005
2011-12-09 00:00:00+00:00,,,,27.0,66057.43104
2011-12-10 00:00:00+00:00,,,,27.0,66057.43104
2011-12-11 00:00:00+00:00,,,,27.0,66057.43104
2011-12-12 00:00:00+00:00,,,,27.0,66057.43104
2011-12-13 00:00:00+00:00,,,,27.0,66057.43104
2011-12-14 00:00:00+00:00,,,,28.0,68504.00256
2011-12-15 00:00:00+00:00,,,,28.0,68504.00256
2011-12-16 00:00:00+00:00,,,,28.0,68504.00256
2011-12-17 00:00:00+00:00,,,,28.0,68504.00256
2011-12-18 00:00:00+00:00,,,,28.0,68504.00256
2011-12-19 00:00:00+00:00,,,,29.0,70950.57408
2011-12-20 00:00:00+00:00,,,,29.0,70950.57408
2011-12-21 00:00:00+00:00,,,,29.0,70950.57408
2011-12-22 00:00:00+00:00,,,,29.0,70950.57408
2011-12-23 00:00:00+00:00,,,,29.0,70950.57408
2011-12-24 00:00:00+00:00,,,,30.0,73397.1456
2011-12-25 00:00:00+00:00,,,,32.0,78290.28864
2011-12-26 00:00:00+00:00,,,,34.0,83183.43168
2011-12-27 00:00:00+00:00,,,,36.0,88076.57472
2011-12-28 00:00:00+00:00,,,,44.0,107649.14688
2011-12-29 00:00:00+00:00,,,,48.0,117435.43295999999
2011-12-30 00:00:00+00:00,,,,54.0,132114.86208
2011-12-31 00:00:00+00:00,,,,42.0,102756.00383999999
2012-01-01 00:00:00+00:00,,,,34.0,83183.43168
2012-01-02 00:00:00+00:00,,,,30.0,73397.1456
2012-01-03 00:00:00+00:00,,,,29.0,70950.57408
2012-01-04 00:00:00+00:00,,,,28.0,68504.00256
2012-01-05 00:00:00+00:00,,,,27.0,66057.43104
2012-01-06 00:00:00+00:00,,,,27.0,66057.43104
2012-01-07 00:00:00+00:00,,,,27.0,66057.43104
2012-01-08 00:00:00+00:00,,,,27.0,66057.43104
2012-01-09 00:00:00+00:00,,,,28.0,68504.00256
2012-01-10 00:00:00+00:00,,,,29.0,70950.57408
2012-01-11 00:00:00+00:00,,,,30.0,73397.1456
2012-01-12 00:00:00+00:00,,,,31.0,75843.71712
2012-01-13 00:00:00+00:00,,,,32.0,78290.28864
2012-01-14 00:00:00+00:00,,,,34.0,83183.43168
2012-01-15 00:00:00+00:00,,,,36.0,88076.57472
2012-01-16 00:00:00+00:00,,,,38.0,92969.71776
2012-01-17 00:00:00+00:00,,,,42.0,102756.00383999999
2012-01-18 00:00:00+00:00,,,,44.0,107649.14688
2012-01-19 00:00:00+00:00,,,,50.0,122328.576
2012-01-20 00:00:00+00:00,,,,58.0,141901.14816
2012-01-21 00:00:00+00:00,,,,70.0,171260.00639999998
2012-01-22 00:00:00+00:00,,,,80.0,195725.7216
2012-01-23 00:00:00+00:00,,,,70.0,171260.00639999998
2012-01-24 00:00:00+00:00,,,,60.0,146794.2912
2012-01-25 00:00:00+00:00,,,,54.0,132114.86208
2012-01-26 00:00:00+00:00,,,,48.0,117435.43295999999
2012-01-27 00:00:00+00:00,,,,44.0,107649.14688
2012-01-28 00:00:00+00:00,,,,40.0,97862.8608
2012-01-29 00:00:00+00:00,,,,36.0,88076.57472
2012-01-30 00:00:00+00:00,,,,32.0,78290.28864
2012-01-31 00:00:00+00:00,,,,31.0,75843.71712
2012-02-01 00:00:00+00:00,,,,31.0,75843.71712
2012-02-02 00:00:00+00:00,,,,31.0,75843.71712
2012-02-03 00:00:00+00:00,,,,32.0,78290.28864
2012-02-04 00:00:00+00:00,,,,33.0,80736.86016
2012-02-05 00:00:00+00:00,,,,34.0,83183.43168
2012-02-06 00:00:00+00:00,,,,36.0,88076.57472
2012-02-07 00:00:00+00:00,,,,39.0,95416.28928000001
2012-02-08 00:00:00+00:00,,,,42.0,102756.00383999999
2012-02-09 00:00:00+00:00,,,,46.0,112542.28992000001
2012-02-10 00:00:00+00:00,,,,50.0,122328.576
2012-02-11 00:00:00+00:00,,,,54.0,132114.86208
2012-02-12 00:00:00+00:00,,,,60.0,146794.2912
2012-02-13 00:00:00+00:00,,,,70.0,171260.00639999998
2012-02-14 00:00:00+00:00,,,,48.2,117924.74726400002
2012-02-15 00:00:00+00:00,,,,44.6,109117.089792
2012-02-16 00:00:00+00:00,,,,43.5,106425.86111999999
2012-02-17 00:00:00+00:00,,,,43.3,105936.54681599999
2012-02-18 00:00:00+00:00,,,,45.6,111563.66131200001
2012-02-19 00:00:00+00:00,,,,42.7,104468.603904
2012-02-20 00:00:00+00:00,,,,41.5,101532.71808
2012-02-21 00:00:00+00:00,,,,138.0,337626.86976
2012-02-22 00:00:00+00:00,,,,282.0,689933.16864
2012-02-23 00:00:00+00:00,,,,159.0,389004.87168
2012-02-24 00:00:00+00:00,,,,107.0,261783.15264
2012-02-25 00:00:00+00:00,,,,95.1,232668.95155199998
2012-02-26 00:00:00+00:00,,,,73.7,180312.321024
2012-02-27 00:00:00+00:00,,,,64.6,158048.52019199997
2012-02-28 00:00:00+00:00,,,,57.2,139943.890944
2012-02-29 00:00:00+00:00,,,,59.5,145571.00544
2012-03-01 00:00:00+00:00,,,,53.6,131136.23347200002
2012-03-02 00:00:00+00:00,,,,50.3,123062.54745599999
2012-03-03 00:00:00+00:00,,,,53.5,130891.57632
2012-03-04 00:00:00+00:00,,,,65.4,160005.77740800002
2012-03-05 00:00:00+00:00,,,,76.6,187407.378432
2012-03-06 00:00:00+00:00,,,,79.3,194013.12153599996
2012-03-07 00:00:00+00:00,,,,65.9,161229.06316800002
2012-03-08 00:00:00+00:00,,,,66.1,161718.37747199996
2012-03-09 00:00:00+00:00,,,,78.3,191566.550016
2012-03-10 00:00:00+00:00,,,,98.8,241721.266176
2012-03-11 00:00:00+00:00,,,,123.0,300928.29696
2012-03-12 00:00:00+00:00,,,,106.0,259336.58112000002
2012-03-13 00:00:00+00:00,,,,101.0,247103.72351999997
2012-03-14 00:00:00+00:00,,,,94.2,230467.03718400002
2012-03-15 00:00:00+00:00,,,,224.0,548032.02048
2012-03-16 00:00:00+00:00,,,,787.0,1925451.78624
2012-03-17 00:00:00+00:00,,,,550.0,1345614.336
2012-03-18 00:00:00+00:00,,,,325.0,795135.744
2012-03-19 00:00:00+00:00,,,,229.0,560264.8780799999
2012-03-20 00:00:00+00:00,,,,190.0,464848.5888
2012-03-21 00:00:00+00:00,,,,263.0,643448.30976
2012-03-22 00:00:00+00:00,,,,346.0,846513.74592
2012-03-23 00:00:00+00:00,,,,351.0,858746.60352
2012-03-24 00:00:00+00:00,,,,305.0,746204.3136
2012-03-25 00:00:00+00:00,,,,311.0,760883.74272
2012-03-26 00:00:00+00:00,,,,378.0,924804.0345600001
2012-03-27 00:00:00+00:00,,,,349.0,853853.46048
2012-03-28 00:00:00+00:00,,,,314.0,768223.45728
2012-03-29 00:00:00+00:00,,,,296.0,724185.16992
2012-03-30 00:00:00+00:00,,,,386.0,944376.6067199999
2012-03-31 00:00:00+00:00,,,,554.0,1355400.6220800001
2012-04-01 00:00:00+00:00,,,,538.0,1316255.47776
2012-04-02 00:00:00+00:00,,,,398.0,973735.46496
2012-04-03 00:00:00+00:00,,,,321.0,785349.45792
2012-04-04 00:00:00+00:00,,,,339.0,829387.74528
2012-04-05 00:00:00+00:00,,,,298.0,729078.31296
2012-04-06 00:00:00+00:00,,,,270.0,660574.3104
2012-04-07 00:00:00+00:00,,,,232.0,567604.59264
2012-04-08 00:00:00+00:00,,,,220.0,538245.7344
2012-04-09 00:00:00+00:00,,,,233.0,570051.16416
2012-04-10 00:00:00+00:00,,,,278.0,680146.88256
2012-04-11 00:00:00+00:00,,,,328.0,802475.4585599999
2012-04-12 00:00:00+00:00,,,,355.0,868532.8896
2012-04-13 00:00:00+00:00,,,,316.0,773116.60032
2012-04-14 00:00:00+00:00,,,,292.0,714398.8838399999
