date,outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C)
1982-01-01,697272.8832,,,
1982-01-02,636108.5952,,,
1982-01-03,660574.3104,,,
1982-01-04,660574.3104,,,
1982-01-05,623875.7376,,,
1982-01-06,587177.1648,,,
1982-01-07,477081.4464,,,
1982-01-08,574944.3072,,,
1982-01-09,672807.168,,,
1982-01-10,697272.8832,,,
1982-01-11,636108.5952,,,
1982-01-12,721738.5984,,,
1982-01-13,733971.456,,,
1982-01-14,697272.8832,,,
1982-01-15,672807.168,,,
1982-01-16,623875.7376,,,
1982-01-17,648341.4528,,,
1982-01-18,636108.5952,,,
1982-01-19,636108.5952,,,
1982-01-20,587177.1648,,,
1982-01-21,601856.59392,,,
1982-01-22,633662.02368,,,
1982-01-23,658127.73888,,,
1982-01-24,675253.73952,,,
1982-01-25,692379.74016,,,
1982-01-26,685040.0255999999,,,
1982-01-27,685040.0255999999,,,
1982-01-28,658127.73888,,,
1982-01-29,601856.59392,,,
1982-01-30,601856.59392,,,
1982-01-31,692379.74016,,,
1982-02-01,650788.02432,,,
1982-02-02,633662.02368,,,
1982-02-03,658127.73888,,,
1982-02-04,489314.304,,,
1982-02-05,366985.728,,,
1982-02-06,464848.58879999997,,,
1982-02-07,587177.1648,,,
1982-02-08,611642.88,,,
1982-02-09,574944.3072,,,
1982-02-10,526012.8768,,,
1982-02-11,477081.4464,,,
1982-02-12,526012.8768,,,
1982-02-13,550478.592,,,
1982-02-14,587177.1648,,,
1982-02-15,760883.74272,,,
1982-02-16,968842.32192,,,
1982-02-17,1115636.6131199999,,,
1982-02-18,1034899.75296,,,
1982-02-19,1034899.75296,,,
1982-02-20,1000647.75168,,,
1982-02-21,1103403.75552,,,
1982-02-22,1563359.20128,,,
1982-02-23,1695474.06336,,,
1982-02-24,1421458.05312,,,
1982-02-25,1240411.76064,,,
1982-02-26,1252644.61824,,,
1982-02-27,1252644.61824,,,
1982-02-28,1115636.6131199999,,,
1982-03-01,1115636.6131199999,,,
1982-03-02,1186587.1872,,,
1982-03-03,1115636.6131199999,,,
1982-03-04,1127869.47072,,,
1982-03-05,1000647.75168,,,
1982-03-06,968842.32192,,,
1982-03-07,1000647.75168,,,
1982-03-08,1012880.60928,,,
1982-03-09,1022666.89536,,,
1982-03-10,1044686.03904,,,
1982-03-11,1186587.1872,,,
1982-03-12,1267324.04736,,,
1982-03-13,1225732.33152,,,
1982-03-14,1252644.61824,,,
1982-03-15,1225732.33152,,,
1982-03-16,1174354.3296,,,
1982-03-17,1137655.7568,,,
1982-03-18,1137655.7568,,,
1982-03-19,1078938.04032,,,
1982-03-20,1022666.89536,,,
1982-03-21,988414.89408,,,
1982-03-22,978628.608,,,
1982-03-23,956609.46432,,,
1982-03-24,1000647.75168,,,
1982-03-25,1069151.75424,,,
1982-03-26,1225732.33152,,,
1982-03-27,1392099.19488,,,
1982-03-28,1465496.34048,,,
1982-03-29,1450816.91136,,,
1982-03-30,1377419.7657599999,,,
1982-03-31,1365186.9081599999,,,
1982-04-01,1294236.33408,,,
1982-04-02,1174354.3296,,,
1982-04-03,1213499.47392,,,
1982-04-04,1137655.7568,,,
1982-04-05,1056918.89664,,,
1982-04-06,1078938.04032,,,
1982-04-07,1000647.75168,,,
1982-04-08,1000647.75168,,,
1982-04-09,1044686.03904,,,
1982-04-10,1078938.04032,,,
1982-04-11,1497301.77024,,,
1982-04-12,2471037.2352,,,
1982-04-13,2617831.5264,,,
1982-04-14,2911420.1088,,,
1982-04-15,2715694.3871999998,,,
1982-04-16,2471037.2352,,,
1982-04-17,2402533.23264,,,
1982-04-18,2341368.94464,,,
1982-04-19,2182341.79584,,,
1982-04-20,2123624.07936,,,
1982-04-21,2204360.93952,,,
1982-04-22,2691228.672,,,
1982-04-23,3767720.1408,,,
1982-04-24,5113334.4768,,,
1982-04-25,6043031.6544,,,
1982-04-26,6385551.6672,,,
1982-04-27,6556811.6736,,,
1982-04-28,7388645.9904,,,
1982-04-29,6997194.5472,,,
1982-04-30,7143988.8384,,,
1982-05-01,7657768.8576,,,
1982-05-02,9468231.782399999,,,
1982-05-03,11890337.587199999,,,
1982-05-04,11694611.8656,,,
1982-05-05,9884148.9408,,,
1982-05-06,8905520.332799999,,,
1982-05-07,9150177.4848,,,
1982-05-08,8905520.332799999,,,
1982-05-09,8024754.5856,,,
1982-05-10,7486508.851199999,,,
1982-05-11,7070591.6928,,,
1982-05-12,6874865.9712,,,
1982-05-13,7241851.6992,,,
1982-05-14,8147083.1616,,,
1982-05-15,9345903.2064,,,
1982-05-16,10226668.9536,,,
1982-05-17,11352091.8528,,,
1982-05-18,12868966.1952,,,
1982-05-19,12991294.7712,,,
1982-05-20,12208391.8848,,,
1982-05-21,11816940.4416,,,
1982-05-22,12232857.6,,,
1982-05-23,12771103.3344,,,
1982-05-24,13138089.0624,,,
1982-05-25,13823129.088,,,
1982-05-26,14875154.841599999,,,
1982-05-27,14483703.3984,,,
1982-05-28,12550911.8976,,,
1982-05-29,10446860.3904,,,
1982-05-30,9052314.624,,,
1982-05-31,8122617.4464,,,
1982-06-01,7975823.1552,,,
1982-06-02,8244946.0224,,,
1982-06-03,8538534.6048,,,
1982-06-04,8905520.332799999,,14.566903200000006,7.011287200000002
1982-06-05,8636397.4656,,13.128002800000004,5.089049600000003
1982-06-06,8147083.1616,,15.439132400000005,0.8501268000000017
1982-06-07,7682234.5728,,15.044684800000006,4.1279308000000015
1982-06-08,7364180.2752,,18.27804400000001,1.811245600000003
1982-06-09,7388645.9904,,20.244726400000005,3.3834804000000034
1982-06-10,7682234.5728,,23.872533200000007,4.872381200000003
1982-06-11,8685328.896,,26.31699720000001,6.661284400000003
1982-06-12,9933080.371199999,,22.6058564,11.511323200000003
1982-06-13,11694611.8656,,22.25585360000001,9.455751200000005
1982-06-14,12134994.7392,,22.300298400000003,6.922397600000004
1982-06-15,12477514.752,,25.266988800000007,8.405742800000006
1982-06-16,13749731.9424,,26.75033400000001,9.500196000000003
1982-06-17,14410306.252799999,,28.01701080000001,8.450187600000003
1982-06-18,14557100.544,,26.31699720000001,8.322408800000002
1982-06-19,14508169.113599999,,27.5392292,9.805754000000004
1982-06-20,13823129.088,,29.022574400000003,11.466878400000002
1982-06-21,13676334.7968,,28.589237600000004,10.722428
1982-06-22,13480609.075199999,,24.566983200000003,12.600220800000002
1982-06-23,13162554.7776,,26.489220800000012,9.366861600000004
1982-06-24,12355186.175999999,,26.27255240000001,9.4113064
