date,avg discharge (cfs),outflow(m3/d)
1982-08-01 00:00:00+00:00,2780.0,6801468.8256
1982-08-02 00:00:00+00:00,2490.0,6091963.0848
1982-08-03 00:00:00+00:00,2360.0,5773908.7872
1982-08-04 00:00:00+00:00,2240.0,5480320.2047999995
1982-08-05 00:00:00+00:00,2110.0,5162265.907199999
1982-08-06 00:00:00+00:00,2060.0,5039937.3312
1982-08-07 00:00:00+00:00,2090.0,5113334.476799999
1982-08-08 00:00:00+00:00,2200.0,5382457.344
1982-08-09 00:00:00+00:00,2250.0,5504785.92
1982-08-10 00:00:00+00:00,2140.0,5235663.0528
1982-08-11 00:00:00+00:00,2000.0,4893143.04
1982-08-12 00:00:00+00:00,1830.0,4477225.8816
1982-08-13 00:00:00+00:00,1800.0,4403828.736
1982-08-14 00:00:00+00:00,1930.0,4721883.0336
1982-08-15 00:00:00+00:00,1770.0,4330431.5904
1982-08-16 00:00:00+00:00,1690.0,4134705.8688000003
1982-08-17 00:00:00+00:00,1660.0,4061308.7232
1982-08-18 00:00:00+00:00,1690.0,4134705.8688000003
1982-08-19 00:00:00+00:00,1730.0,4232568.7296
1982-08-20 00:00:00+00:00,1800.0,4403828.736
1982-08-21 00:00:00+00:00,1880.0,4599554.457599999
1982-08-22 00:00:00+00:00,1770.0,4330431.5904
1982-08-23 00:00:00+00:00,1730.0,4232568.7296
1982-08-24 00:00:00+00:00,1680.0,4110240.1536
1982-08-25 00:00:00+00:00,1620.0,3963445.8624
1982-08-26 00:00:00+00:00,1630.0,3987911.5776000004
1982-08-27 00:00:00+00:00,1600.0,3914514.432
1982-08-28 00:00:00+00:00,1540.0,3767720.1408
1982-08-29 00:00:00+00:00,1460.0,3571994.4192000004
1982-08-30 00:00:00+00:00,1450.0,3547528.704
1982-08-31 00:00:00+00:00,1430.0,3498597.2736
1982-09-01 00:00:00+00:00,1420.0,3474131.5584
1982-09-02 00:00:00+00:00,1450.0,3547528.704
1982-09-03 00:00:00+00:00,1570.0,3841117.2863999996
1982-09-04 00:00:00+00:00,1570.0,3841117.2863999996
1982-09-05 00:00:00+00:00,1460.0,3571994.4192000004
1982-09-06 00:00:00+00:00,1360.0,3327337.2672
1982-09-07 00:00:00+00:00,1330.0,3253940.1216
1982-09-08 00:00:00+00:00,1420.0,3474131.5584
1982-09-09 00:00:00+00:00,1430.0,3498597.2736
1982-09-10 00:00:00+00:00,1770.0,4330431.5904
1982-09-11 00:00:00+00:00,1700.0,4159171.584
1982-09-12 00:00:00+00:00,2250.0,5504785.92
1982-09-13 00:00:00+00:00,1820.0,4452760.1663999995
1982-09-14 00:00:00+00:00,1590.0,3890048.7167999996
1982-09-15 00:00:00+00:00,1460.0,3571994.4192000004
1982-09-16 00:00:00+00:00,1390.0,3400734.4128
1982-09-17 00:00:00+00:00,1340.0,3278405.8367999997
1982-09-18 00:00:00+00:00,1320.0,3229474.4063999997
1982-09-19 00:00:00+00:00,1350.0,3302871.552
1982-09-20 00:00:00+00:00,1730.0,4232568.7296
1982-09-21 00:00:00+00:00,1680.0,4110240.1536
1982-09-22 00:00:00+00:00,1450.0,3547528.704
1982-09-23 00:00:00+00:00,1380.0,3376268.6976
1982-09-24 00:00:00+00:00,1380.0,3376268.6976
1982-09-25 00:00:00+00:00,1430.0,3498597.2736
1982-09-26 00:00:00+00:00,1380.0,3376268.6976
1982-09-27 00:00:00+00:00,1290.0,3156077.2608
1982-09-28 00:00:00+00:00,1220.0,2984817.2544
1982-09-29 00:00:00+00:00,1230.0,3009282.9696
1982-09-30 00:00:00+00:00,1190.0,2911420.1088
1982-10-01 00:00:00+00:00,1150.0,2813557.248
1982-10-02 00:00:00+00:00,1190.0,2911420.1088
1982-10-03 00:00:00+00:00,1280.0,3131611.5456
1982-10-04 00:00:00+00:00,1210.0,2960351.5392
1982-10-05 00:00:00+00:00,1100.0,2691228.672
1982-10-06 00:00:00+00:00,1120.0,2740160.1023999997
1982-10-07 00:00:00+00:00,1500.0,3669857.2800000003
1982-10-08 00:00:00+00:00,1610.0,3938980.1471999995
1982-10-09 00:00:00+00:00,1750.0,4281500.16
1982-10-10 00:00:00+00:00,1750.0,4281500.16
1982-10-11 00:00:00+00:00,1670.0,4085774.4384000003
1982-10-12 00:00:00+00:00,1570.0,3841117.2863999996
1982-10-13 00:00:00+00:00,1480.0,3620925.8496000003
1982-10-14 00:00:00+00:00,1420.0,3474131.5584
1982-10-15 00:00:00+00:00,1360.0,3327337.2672
1982-10-16 00:00:00+00:00,1300.0,3180542.976
1982-10-17 00:00:00+00:00,1430.0,3498597.2736
1982-10-18 00:00:00+00:00,1480.0,3620925.8496000003
1982-10-19 00:00:00+00:00,1340.0,3278405.8367999997
1982-10-20 00:00:00+00:00,1290.0,3156077.2608
1982-10-21 00:00:00+00:00,1280.0,3131611.5456
1982-10-22 00:00:00+00:00,2750.0,6728071.68
1982-10-23 00:00:00+00:00,4600.0,11254228.992
1982-10-24 00:00:00+00:00,3400.0,8318343.168
1982-10-25 00:00:00+00:00,2850.0,6972728.8319999995
1982-10-26 00:00:00+00:00,2970.0,7266317.4144
1982-10-27 00:00:00+00:00,3310.0,8098151.731199999
1982-10-28 00:00:00+00:00,3320.0,8122617.4464
1982-10-29 00:00:00+00:00,6270.0,15340003.430399999
1982-10-30 00:00:00+00:00,5620.0,13749731.9424
1982-10-31 00:00:00+00:00,4530.0,11082968.9856
1982-11-01 00:00:00+00:00,4190.0,10251134.6688
1982-11-02 00:00:00+00:00,3780.0,9248040.3456
1982-11-03 00:00:00+00:00,3370.0,8244946.0224
1982-11-04 00:00:00+00:00,3270.0,8000288.870399999
1982-11-05 00:00:00+00:00,3830.0,9370368.921600001
1982-11-06 00:00:00+00:00,4470.0,10936174.6944
1982-11-07 00:00:00+00:00,4370.0,10691517.5424
1982-11-08 00:00:00+00:00,3980.0,9737354.6496
1982-11-09 00:00:00+00:00,3620.0,8856588.9024
1982-11-10 00:00:00+00:00,3300.0,8073686.016000001
1982-11-11 00:00:00+00:00,3050.0,7462043.136000001
1982-11-12 00:00:00+00:00,2850.0,6972728.8319999995
1982-11-13 00:00:00+00:00,2700.0,6605743.104
1982-11-14 00:00:00+00:00,2490.0,6091963.0848
1982-11-15 00:00:00+00:00,2270.0,5553717.3504
1982-11-16 00:00:00+00:00,2220.0,5431388.7743999995
1982-11-17 00:00:00+00:00,3300.0,8073686.016000001
1982-11-18 00:00:00+00:00,5240.0,12820034.7648
1982-11-19 00:00:00+00:00,5100.0,12477514.752
1982-11-20 00:00:00+00:00,4850.0,11865871.872
1982-11-21 00:00:00+00:00,4370.0,10691517.5424
1982-11-22 00:00:00+00:00,3900.0,9541628.928
1982-11-23 00:00:00+00:00,3510.0,8587466.0352
1982-11-24 00:00:00+00:00,3220.0,7877960.294399999
1982-11-25 00:00:00+00:00,2940.0,7192920.2688
1982-11-26 00:00:00+00:00,2770.0,6777003.1104
1982-11-27 00:00:00+00:00,2730.0,6679140.2496
1982-11-28 00:00:00+00:00,3760.0,9199108.915199999
