date,max_temp(C),min_temp(C)
1984-07-10 00:00:00+00:00,12.0,9.0
1984-07-11 00:00:00+00:00,13.0,7.5
1984-07-12 00:00:00+00:00,13.0,8.5
1984-07-13 00:00:00+00:00,12.5,7.5
1984-07-14 00:00:00+00:00,13.0,7.5
1984-07-15 00:00:00+00:00,13.5,7.5
1984-07-16 00:00:00+00:00,14.0,8.5
1984-07-17 00:00:00+00:00,14.5,8.5
1984-07-18 00:00:00+00:00,13.0,10.0
1984-07-19 00:00:00+00:00,13.0,9.5
1984-07-20 00:00:00+00:00,13.5,9.0
1984-07-21 00:00:00+00:00,13.0,8.0
1984-07-22 00:00:00+00:00,13.5,7.5
1984-07-23 00:00:00+00:00,12.5,10.0
1984-07-24 00:00:00+00:00,14.0,9.5
1984-07-25 00:00:00+00:00,15.5,10.0
1984-07-26 00:00:00+00:00,16.0,11.5
1984-07-27 00:00:00+00:00,16.5,11.5
1984-07-28 00:00:00+00:00,15.0,12.0
1984-07-29 00:00:00+00:00,14.0,10.5
1984-07-30 00:00:00+00:00,14.5,9.5
1984-07-31 00:00:00+00:00,15.5,9.5
1984-08-01 00:00:00+00:00,14.5,11.0
1984-08-02 00:00:00+00:00,14.5,11.0
1984-08-03 00:00:00+00:00,15.0,10.0
1984-08-04 00:00:00+00:00,15.5,10.5
1984-08-05 00:00:00+00:00,16.0,11.0
1984-08-06 00:00:00+00:00,14.5,10.0
1984-08-07 00:00:00+00:00,15.0,9.0
1984-08-08 00:00:00+00:00,15.5,9.0
1984-08-09 00:00:00+00:00,15.5,9.5
1984-08-10 00:00:00+00:00,15.5,10.5
1984-08-11 00:00:00+00:00,16.0,11.5
1984-08-12 00:00:00+00:00,17.0,10.5
1984-08-13 00:00:00+00:00,16.0,10.0
1984-08-14 00:00:00+00:00,15.5,9.0
1984-08-15 00:00:00+00:00,17.0,10.0
1984-08-16 00:00:00+00:00,14.5,11.0
1984-08-17 00:00:00+00:00,15.0,10.0
1984-08-18 00:00:00+00:00,16.5,11.0
1984-08-19 00:00:00+00:00,15.5,10.0
1984-08-20 00:00:00+00:00,14.0,7.5
1984-08-21 00:00:00+00:00,14.5,7.0
1984-08-22 00:00:00+00:00,11.5,8.0
1984-08-23 00:00:00+00:00,16.0,11.0
1984-08-24 00:00:00+00:00,15.5,9.5
1984-08-25 00:00:00+00:00,13.5,9.0
1984-08-26 00:00:00+00:00,15.0,9.0
1984-08-27 00:00:00+00:00,15.5,9.5
1984-08-28 00:00:00+00:00,15.0,10.0
1984-08-29 00:00:00+00:00,14.5,8.0
1984-08-30 00:00:00+00:00,11.5,9.5
1984-08-31 00:00:00+00:00,11.0,10.0
1984-09-01 00:00:00+00:00,12.5,8.5
1984-09-02 00:00:00+00:00,14.0,7.0
1984-09-03 00:00:00+00:00,13.5,7.5
1984-09-04 00:00:00+00:00,15.0,8.0
1984-09-05 00:00:00+00:00,15.0,9.5
1984-09-06 00:00:00+00:00,12.5,7.5
1984-09-07 00:00:00+00:00,11.0,7.0
1984-09-08 00:00:00+00:00,11.5,8.0
1984-09-09 00:00:00+00:00,13.5,8.5
1984-09-10 00:00:00+00:00,12.5,7.5
1984-09-11 00:00:00+00:00,10.0,7.5
1984-09-12 00:00:00+00:00,10.5,6.0
1984-09-13 00:00:00+00:00,11.0,5.0
1984-09-14 00:00:00+00:00,10.5,4.5
1984-09-15 00:00:00+00:00,12.5,6.5
1984-09-16 00:00:00+00:00,13.0,7.0
1984-09-17 00:00:00+00:00,13.5,7.0
1984-09-18 00:00:00+00:00,13.0,8.0
1984-09-19 00:00:00+00:00,14.0,9.0
1984-09-20 00:00:00+00:00,12.5,9.5
1984-09-21 00:00:00+00:00,9.5,6.5
1984-09-22 00:00:00+00:00,7.5,5.5
1984-09-23 00:00:00+00:00,6.0,5.0
1984-09-24 00:00:00+00:00,7.0,3.5
1984-09-25 00:00:00+00:00,6.5,2.5
1984-09-26 00:00:00+00:00,7.0,4.0
1984-09-27 00:00:00+00:00,9.0,4.5
1984-09-28 00:00:00+00:00,8.0,2.5
1984-09-29 00:00:00+00:00,8.0,2.5
1984-09-30 00:00:00+00:00,8.5,3.0
1985-06-11 00:00:00+00:00,11.0,7.0
1985-06-12 00:00:00+00:00,11.5,6.5
1985-06-13 00:00:00+00:00,10.0,6.5
1985-06-14 00:00:00+00:00,10.5,6.5
1985-06-15 00:00:00+00:00,13.0,7.0
1985-06-16 00:00:00+00:00,12.0,7.0
1985-06-17 00:00:00+00:00,13.5,6.0
1985-06-18 00:00:00+00:00,14.5,7.5
1985-06-19 00:00:00+00:00,14.5,8.0
1985-06-20 00:00:00+00:00,14.0,8.5
1985-06-21 00:00:00+00:00,14.0,6.5
1985-06-22 00:00:00+00:00,14.0,7.0
1985-06-23 00:00:00+00:00,13.5,6.5
1985-06-24 00:00:00+00:00,10.5,6.0
1985-06-25 00:00:00+00:00,9.0,6.5
1985-06-26 00:00:00+00:00,11.5,5.0
1985-06-27 00:00:00+00:00,13.5,1.5
1985-06-28 00:00:00+00:00,13.5,7.5
1985-06-29 00:00:00+00:00,14.0,8.5
1985-06-30 00:00:00+00:00,14.5,8.0
1985-07-01 00:00:00+00:00,15.0,8.5
1985-07-02 00:00:00+00:00,16.0,9.5
1985-07-03 00:00:00+00:00,15.5,10.0
1985-07-04 00:00:00+00:00,16.0,10.5
1985-07-05 00:00:00+00:00,18.0,10.5
1985-07-06 00:00:00+00:00,18.0,10.0
1985-07-07 00:00:00+00:00,18.5,11.5
1985-07-08 00:00:00+00:00,16.0,11.5
1985-07-09 00:00:00+00:00,16.5,11.0
1985-07-10 00:00:00+00:00,19.0,11.5
1985-07-11 00:00:00+00:00,18.5,11.5
1985-07-12 00:00:00+00:00,16.5,11.0
1985-07-13 00:00:00+00:00,18.0,10.0
1985-07-14 00:00:00+00:00,18.0,9.5
1985-07-15 00:00:00+00:00,18.5,10.0
1985-07-16 00:00:00+00:00,18.0,10.5
1985-07-17 00:00:00+00:00,19.5,11.0
1985-07-18 00:00:00+00:00,19.0,10.0
1985-07-19 00:00:00+00:00,19.0,9.5
1985-07-20 00:00:00+00:00,18.5,10.0
1985-07-21 00:00:00+00:00,19.0,10.0
1985-07-22 00:00:00+00:00,16.5,11.0
1985-07-23 00:00:00+00:00,19.0,11.0
1985-07-24 00:00:00+00:00,19.5,11.5
1985-07-25 00:00:00+00:00,19.5,10.5
1985-07-26 00:00:00+00:00,19.5,11.0
1985-07-27 00:00:00+00:00,19.5,11.0
1985-07-28 00:00:00+00:00,17.5,12.0
1985-07-29 00:00:00+00:00,19.0,12.0
1985-07-30 00:00:00+00:00,17.0,12.0
1985-07-31 00:00:00+00:00,18.0,10.5
1985-08-01 00:00:00+00:00,15.0,11.5
1985-08-02 00:00:00+00:00,11.5,10.5
1985-08-03 00:00:00+00:00,17.0,9.5
1985-08-04 00:00:00+00:00,16.5,10.5
1985-08-05 00:00:00+00:00,17.0,11.0
1985-08-06 00:00:00+00:00,17.5,10.0
1985-08-07 00:00:00+00:00,16.5,11.0
1985-08-08 00:00:00+00:00,14.0,10.0
1985-08-09 00:00:00+00:00,15.5,7.5
1985-08-10 00:00:00+00:00,10.5,9.0
1985-08-11 00:00:00+00:00,10.5,8.0
1985-08-12 00:00:00+00:00,12.0,8.5
1985-08-13 00:00:00+00:00,14.5,7.0
1985-08-14 00:00:00+00:00,15.0,7.0
1985-08-15 00:00:00+00:00,14.0,8.0
1985-08-16 00:00:00+00:00,15.5,7.0
1985-08-17 00:00:00+00:00,16.0,7.0
1985-08-18 00:00:00+00:00,14.5,9.0
1985-08-19 00:00:00+00:00,14.5,10.0
1985-08-20 00:00:00+00:00,14.0,9.5
1985-08-21 00:00:00+00:00,12.5,8.5
1985-08-22 00:00:00+00:00,14.5,7.0
1985-08-23 00:00:00+00:00,15.5,7.0
1985-08-24 00:00:00+00:00,16.0,7.5
1985-08-25 00:00:00+00:00,15.5,9.0
1985-08-26 00:00:00+00:00,17.0,9.5
1985-08-27 00:00:00+00:00,17.0,10.5
1985-08-28 00:00:00+00:00,17.5,9.5
1985-08-29 00:00:00+00:00,16.5,8.5
1985-08-30 00:00:00+00:00,15.0,9.5
1985-08-31 00:00:00+00:00,14.5,8.0
1985-09-01 00:00:00+00:00,8.5,7.0
1985-09-21 00:00:00+00:00,8.5,6.0
1986-06-27 00:00:00+00:00,13.0,11.0
1986-06-28 00:00:00+00:00,14.0,9.5
1986-06-29 00:00:00+00:00,11.0,9.5
1986-06-30 00:00:00+00:00,13.5,7.5
1986-07-01 00:00:00+00:00,14.5,8.0
1986-07-02 00:00:00+00:00,15.5,9.5
1986-07-03 00:00:00+00:00,14.0,10.5
1986-07-04 00:00:00+00:00,10.0,6.5
1986-07-05 00:00:00+00:00,8.5,6.0
1986-07-06 00:00:00+00:00,12.0,5.0
1986-07-07 00:00:00+00:00,11.5,6.5
1986-07-08 00:00:00+00:00,12.5,8.5
1986-07-09 00:00:00+00:00,11.5,8.5
1986-07-10 00:00:00+00:00,10.0,9.0
1986-07-11 00:00:00+00:00,13.5,9.0
1986-07-12 00:00:00+00:00,14.0,7.5
1986-07-13 00:00:00+00:00,14.5,8.0
1986-07-14 00:00:00+00:00,11.5,9.0
1986-07-15 00:00:00+00:00,14.0,7.5
1986-07-16 00:00:00+00:00,9.0,7.0
1986-07-17 00:00:00+00:00,12.5,5.5
1986-07-18 00:00:00+00:00,13.5,6.5
1986-07-19 00:00:00+00:00,14.5,8.0
1986-07-20 00:00:00+00:00,16.0,8.5
1986-07-21 00:00:00+00:00,16.5,9.0
1986-07-22 00:00:00+00:00,16.0,10.0
1986-07-23 00:00:00+00:00,16.0,9.5
1986-07-24 00:00:00+00:00,15.5,9.0
1986-07-25 00:00:00+00:00,15.0,9.5
1986-07-26 00:00:00+00:00,15.5,9.0
1986-07-27 00:00:00+00:00,15.0,9.0
1986-07-28 00:00:00+00:00,15.5,8.0
1986-07-29 00:00:00+00:00,14.5,9.0
1986-07-30 00:00:00+00:00,14.0,8.0
1986-07-31 00:00:00+00:00,15.0,7.0
1986-08-01 00:00:00+00:00,16.0,7.5
1986-08-02 00:00:00+00:00,16.5,9.0
1986-08-03 00:00:00+00:00,17.5,11.0
1986-08-04 00:00:00+00:00,17.5,10.0
