date,inflow(m3/d),total avg discharge (m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),outflow(m3/d),storage(m3)
1982-01-01,1530893.1972096001,4893.14304,804.7512480000001,,5.222384000000002,-10.0666272,4893.14304,472369603.00320005
1982-01-02,1887187.4076672,4893.14304,804.800016,,1.5945771999999998,-12.472202,4893.14304,474251893.4832
1982-01-03,2605843.3259519995,4893.14304,804.867072,,6.139058000000002,-2.905458799999998,4893.14304,476852846.4156
1982-01-04,123576.3274752,4893.14304,804.87012,,6.750174000000001,-4.299914399999997,4893.14304,476971531.86120003
1982-01-05,1431195.4077696,4403.828736,804.906696,,2.8168092000000016,-6.749933999999998,4403.828736,478398322.84679997
1982-01-06,1312854.7433472,4403.828736,804.9402240000001,,-3.733243199999997,-15.744450399999998,4403.828736,479706773.7612
1982-01-07,243727.4548224,4403.828736,804.94632,,-9.194397999999998,-17.450019599999997,4403.828736,479946105.8856
1982-01-08,1919604.4803072,4403.828736,804.995088,,-5.527701999999998,-13.344431199999999,4403.828736,481861317.9468
1982-01-09,1442131.582464,4403.828736,805.031664,,-3.8221327999999968,-16.0944532,4403.828736,483299049.90000004
1982-01-10,726778.5357312,4403.828736,805.049952,,-4.649917199999999,-17.1000168,4403.828736,484021412.7924
1982-01-11,1090363.5293184,4403.828736,805.077384,,0.37234520000000515,-15.133334399999999,4403.828736,485107368.58440006
1982-01-12,1452064.6628351999,4648.485888,805.11396,,6.750174000000001,-10.722188,4648.485888,486554783.3556
1982-01-13,1461312.7031808,5382.457344,805.1505360000001,,9.544640800000003,-4.738806799999999,5382.457344,488010709.1388
1982-01-14,2193547.0934016,5871.771648,805.2054,,8.450187600000003,-5.216588399999999,5871.771648,490198372.26240003
1982-01-15,1592277.6766464,5871.771648,805.2450240000001,,8.672411600000004,3.2112568000000046,5871.771648,491784775.56
1982-01-16,1353761.4191616,5871.771648,805.278552,,9.455751200000005,0.11123200000000466,5871.771648,493132660.83
1982-01-17,1680085.1284992,5871.771648,805.321224,,9.283527600000003,2.8612540000000024,5871.771648,494806875.56880003
1982-01-18,1924986.9376511998,5871.771648,805.369992,,9.022414400000006,0.9390163999999999,5871.771648,496725985.42679995
1982-01-19,1929048.2463744,4893.14304,805.41876,,4.605712400000002,-6.3999311999999975,4893.14304,498650127.88320005
