date,avg discharge (cfs),outflow(m3/d)
1985-05-01 00:00:00+00:00,1060.0,2593365.8112
1985-05-02 00:00:00+00:00,1100.0,2691228.672
1985-05-03 00:00:00+00:00,1270.0,3107145.8304
1985-05-04 00:00:00+00:00,1340.0,3278405.8367999997
1985-05-05 00:00:00+00:00,1380.0,3376268.6976
1985-05-06 00:00:00+00:00,1350.0,3302871.552
1985-05-07 00:00:00+00:00,1290.0,3156077.2608
1985-05-08 00:00:00+00:00,1130.0,2764625.8175999997
1985-05-09 00:00:00+00:00,976.0,2387853.8035199996
1985-05-10 00:00:00+00:00,952.0,2329136.08704
1985-05-11 00:00:00+00:00,970.0,2373174.3744
1985-05-12 00:00:00+00:00,900.0,2201914.368
1985-05-13 00:00:00+00:00,830.0,2030654.3616
1985-05-14 00:00:00+00:00,765.0,1871627.2127999999
1985-05-15 00:00:00+00:00,760.0,1859394.3552
1985-05-16 00:00:00+00:00,755.0,1847161.4976
1985-05-17 00:00:00+00:00,706.0,1727279.4931199998
1985-05-18 00:00:00+00:00,710.0,1737065.7792
1985-05-19 00:00:00+00:00,740.0,1810462.9248000002
1985-05-20 00:00:00+00:00,725.0,1773764.352
1985-05-21 00:00:00+00:00,755.0,1847161.4976
1985-05-22 00:00:00+00:00,740.0,1810462.9248000002
1985-05-23 00:00:00+00:00,720.0,1761531.4944
1985-05-24 00:00:00+00:00,696.0,1702813.7779199998
1985-05-25 00:00:00+00:00,701.0,1715046.63552
1985-05-26 00:00:00+00:00,715.0,1749298.6368
1985-05-27 00:00:00+00:00,701.0,1715046.63552
1985-05-28 00:00:00+00:00,688.0,1683241.20576
1985-05-29 00:00:00+00:00,678.0,1658775.49056
1985-05-30 00:00:00+00:00,660.0,1614737.2031999999
1985-05-31 00:00:00+00:00,647.0,1582931.7734400001
1985-06-01 00:00:00+00:00,642.0,1570698.91584
1985-06-02 00:00:00+00:00,590.0,1443477.1968
1985-06-03 00:00:00+00:00,586.0,1433690.91072
1985-06-04 00:00:00+00:00,575.0,1406778.624
1985-06-05 00:00:00+00:00,550.0,1345614.336
1985-06-06 00:00:00+00:00,520.0,1272217.1904
1985-06-07 00:00:00+00:00,480.0,1174354.3296
1985-06-08 00:00:00+00:00,455.0,1113190.0415999999
1985-06-09 00:00:00+00:00,431.0,1054472.32512
1985-06-10 00:00:00+00:00,410.0,1003094.3232
1985-06-11 00:00:00+00:00,390.0,954162.8928
1985-06-12 00:00:00+00:00,365.0,892998.6048000001
1985-06-13 00:00:00+00:00,335.0,819601.4591999999
1985-06-14 00:00:00+00:00,330.0,807368.6015999999
1985-06-15 00:00:00+00:00,310.0,758437.1712
1985-06-16 00:00:00+00:00,290.0,709505.7407999999
1985-06-17 00:00:00+00:00,285.0,697272.8831999999
1985-06-18 00:00:00+00:00,265.0,648341.4528
1985-06-19 00:00:00+00:00,250.0,611642.88
1985-06-20 00:00:00+00:00,255.0,623875.7376
1985-06-21 00:00:00+00:00,235.0,574944.3071999999
1985-06-22 00:00:00+00:00,240.0,587177.1648
1985-06-23 00:00:00+00:00,250.0,611642.88
1985-06-24 00:00:00+00:00,230.0,562711.4495999999
1985-06-25 00:00:00+00:00,222.0,543138.8774400001
1985-06-26 00:00:00+00:00,222.0,543138.8774400001
1985-06-27 00:00:00+00:00,230.0,562711.4495999999
1985-06-28 00:00:00+00:00,228.0,557818.3065599999
1985-06-29 00:00:00+00:00,214.0,523566.30528
1985-06-30 00:00:00+00:00,212.0,518673.16224000003
1985-07-01 00:00:00+00:00,210.0,513780.0192
1985-07-02 00:00:00+00:00,218.0,533352.59136
1985-07-03 00:00:00+00:00,204.0,499100.59008
1985-07-04 00:00:00+00:00,200.0,489314.304
1985-07-05 00:00:00+00:00,198.0,484421.16096
1985-07-06 00:00:00+00:00,194.0,474634.87488
1985-07-07 00:00:00+00:00,190.0,464848.5888
1985-07-08 00:00:00+00:00,190.0,464848.5888
1985-07-09 00:00:00+00:00,187.0,457508.87424
1985-07-10 00:00:00+00:00,190.0,464848.5888
1985-07-11 00:00:00+00:00,189.0,462402.01728000003
1985-07-12 00:00:00+00:00,192.0,469741.73183999996
1985-07-13 00:00:00+00:00,197.0,481974.58943999995
1985-07-14 00:00:00+00:00,208.0,508886.87616000004
1985-07-15 00:00:00+00:00,200.0,489314.304
1985-07-16 00:00:00+00:00,196.0,479528.01792
1985-07-17 00:00:00+00:00,202.0,494207.44703999994
1985-07-18 00:00:00+00:00,214.0,523566.30528
1985-07-19 00:00:00+00:00,225.0,550478.592
1985-07-20 00:00:00+00:00,237.0,579837.45024
1985-07-21 00:00:00+00:00,232.0,567604.59264
1985-07-22 00:00:00+00:00,249.0,609196.30848
1985-07-23 00:00:00+00:00,252.0,616536.02304
1985-07-24 00:00:00+00:00,262.0,641001.73824
1985-07-25 00:00:00+00:00,314.0,768223.45728
1985-07-26 00:00:00+00:00,314.0,768223.45728
1985-07-27 00:00:00+00:00,313.0,765776.88576
1985-07-28 00:00:00+00:00,309.0,755990.59968
1985-07-29 00:00:00+00:00,314.0,768223.45728
1985-07-30 00:00:00+00:00,348.0,851406.8889599999
1985-07-31 00:00:00+00:00,339.0,829387.74528
1985-08-01 00:00:00+00:00,345.0,844067.1744
1985-08-02 00:00:00+00:00,353.0,863639.7465599999
1985-08-03 00:00:00+00:00,365.0,892998.6048000001
1985-08-04 00:00:00+00:00,361.0,883212.31872
1985-08-05 00:00:00+00:00,356.0,870979.46112
1985-08-06 00:00:00+00:00,359.0,878319.17568
1985-08-07 00:00:00+00:00,344.0,841620.60288
1985-08-08 00:00:00+00:00,336.0,822048.0307199999
1985-08-09 00:00:00+00:00,334.0,817154.88768
1985-08-10 00:00:00+00:00,347.0,848960.31744
1985-08-11 00:00:00+00:00,341.0,834280.8883199999
1985-08-12 00:00:00+00:00,346.0,846513.74592
1985-08-13 00:00:00+00:00,335.0,819601.4591999999
1985-08-14 00:00:00+00:00,326.0,797582.31552
1985-08-15 00:00:00+00:00,314.0,768223.45728
1985-08-16 00:00:00+00:00,314.0,768223.45728
1985-08-17 00:00:00+00:00,317.0,775563.1718400001
1985-08-18 00:00:00+00:00,321.0,785349.45792
1985-08-19 00:00:00+00:00,317.0,775563.1718400001
1985-08-20 00:00:00+00:00,317.0,775563.1718400001
1985-08-21 00:00:00+00:00,320.0,782902.8864
1985-08-22 00:00:00+00:00,316.0,773116.60032
1985-08-23 00:00:00+00:00,326.0,797582.31552
1985-08-24 00:00:00+00:00,329.0,804922.03008
1985-08-25 00:00:00+00:00,335.0,819601.4591999999
1985-08-26 00:00:00+00:00,331.0,809815.1731199999
1985-08-27 00:00:00+00:00,311.0,760883.74272
1985-08-28 00:00:00+00:00,303.0,741311.17056
1985-08-29 00:00:00+00:00,302.0,738864.5990399999
1985-08-30 00:00:00+00:00,299.0,731524.88448
1985-08-31 00:00:00+00:00,299.0,731524.88448
1985-09-01 00:00:00+00:00,305.0,746204.3136
1985-09-02 00:00:00+00:00,331.0,809815.1731199999
1985-09-03 00:00:00+00:00,336.0,822048.0307199999
1985-09-04 00:00:00+00:00,352.0,861193.17504
1985-09-05 00:00:00+00:00,370.0,905231.4624000001
1985-09-06 00:00:00+00:00,371.0,907678.03392
1985-09-07 00:00:00+00:00,365.0,892998.6048000001
1985-09-08 00:00:00+00:00,359.0,878319.17568
1985-09-09 00:00:00+00:00,398.0,973735.46496
1985-09-10 00:00:00+00:00,381.0,932143.7491199999
1985-09-11 00:00:00+00:00,399.0,976182.0364799999
1985-09-12 00:00:00+00:00,498.0,1218392.61696
1985-09-13 00:00:00+00:00,523.0,1279556.90496
1985-09-14 00:00:00+00:00,513.0,1255091.18976
1985-09-15 00:00:00+00:00,486.0,1189033.75872
1985-09-16 00:00:00+00:00,480.0,1174354.3296
1985-09-17 00:00:00+00:00,467.0,1142548.89984
1985-09-18 00:00:00+00:00,476.0,1164568.04352
1985-09-19 00:00:00+00:00,524.0,1282003.47648
1985-09-20 00:00:00+00:00,461.0,1127869.4707199999
1985-09-21 00:00:00+00:00,444.0,1086277.7548800001
1985-09-22 00:00:00+00:00,447.0,1093617.4694400001
1985-09-23 00:00:00+00:00,455.0,1113190.0415999999
1985-09-24 00:00:00+00:00,453.0,1108296.89856
