date,canal discharge (m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),outflow(m3/d),storage(m3)
1982-01-01,,,,,,,3103435.68
1982-01-02,,,,,,,3103435.68
1982-01-03,,,,,,,3062730.84
1982-01-04,,,,,,,3062730.84
1982-01-05,,,,,,,3062730.84
1982-01-06,,,,,,,3062730.84
1982-01-07,,,,,,,3062730.84
1982-01-08,,,,,,,3025726.44
1982-01-09,,,,,,,3025726.44
1982-01-10,,,,,,,3025726.44
1982-01-11,,,,,,,3025726.44
1982-01-12,,,,,,,2996122.92
1982-01-13,,,,,,,2996122.92
1982-01-14,,,,,,,2996122.92
1982-01-15,,,,,,,2996122.92
1982-01-16,,,,,,,2996122.92
1982-01-17,,,,,,,2996122.92
1982-01-18,,,,,,,2951717.64
1982-01-19,,,,,,,2951717.64
1982-01-20,,,,,,,2951717.64
1982-01-21,,,,,,,2951717.64
1982-01-22,,,,,,,2878942.32
1982-01-23,,,,,,,2878942.32
1982-01-24,,,,,,,2878942.32
1982-01-25,,,,,,,2878942.32
1982-01-26,,,,,,,2878942.32
1982-01-27,,,,,,,2878942.32
1982-01-28,,,,,,,2878942.32
1982-01-29,,,,,,,2878942.32
1982-01-30,,,,,,,2762995.2
1982-01-31,,,,,,,2762995.2
1982-02-01,,,,,,,2762995.2
1982-02-02,,,,,,,2762995.2
1982-02-03,,,,,,,2762995.2
1982-02-04,,,,,,,2762995.2
1982-02-05,,,,,,,2691453.36
1982-02-06,,,,,,,2691453.36
1982-02-07,,,,,,,2691453.36
1982-02-08,,,,,,,2691453.36
1982-02-09,,,,,,,2691453.36
1982-02-10,,,,,,,2691453.36
1982-02-11,,,,,,,2664316.8
1982-02-12,,,,,,,2664316.8
1982-02-13,,,,,,,2664316.8
1982-02-14,,,,,,,2664316.8
1982-02-15,,,,,,,2664316.8
1982-02-16,,,,,,,2664316.8
1982-02-17,,,,,,,2664316.8
1982-02-18,,,,,,,2635946.7600000002
1982-02-19,,,,,,,2635946.7600000002
1982-02-20,,,,,,,2635946.7600000002
1982-02-21,,,,,,,2635946.7600000002
1982-02-22,,,,,,,2635946.7600000002
1982-02-23,,,,,,,2635946.7600000002
1982-02-24,,,,,,,2594008.44
1982-02-25,,,,,,,2594008.44
1982-02-26,,,,,,,2594008.44
1982-02-27,,,,,,,2594008.44
1982-02-28,,,,,,,2594008.44
1982-03-01,,,,,,,2594008.44
1982-03-02,,,,,,,2594008.44
1982-03-03,,,,,,,2594008.44
1982-03-04,,,,,,,2594008.44
1982-03-05,,,,,,,2459559.12
1982-03-06,,,,,,,2459559.12
1982-03-07,,,,,,,2459559.12
1982-03-08,,,,,,,2487929.16
1982-03-09,,,,,,,2516299.2
1982-03-10,,,,,,,2544669.24
1982-03-11,,,,,,,2589074.52
1982-03-12,,,,,,,2617444.56
1982-03-13,,,,,,,2617444.56
1982-03-14,,,,,,,2617444.56
1982-03-15,,,,,,,2661849.84
1982-03-16,,,,,,,2676651.6
1982-03-17,,,,,,,2721056.88
1982-03-18,,,,,,,2750660.4
1982-03-19,,,,,,,2780263.92
1982-03-20,,,,,,,2780263.92
1982-03-21,,,,,,,2780263.92
1982-03-22,,,,,,,2780263.92
1982-03-23,,,,,,,2825902.68
1982-03-24,,,,,,,2871541.44
1982-03-25,,,,,,,2902378.44
1982-03-26,,,,,,,2933215.44
1982-03-27,,,,,,,2933215.44
1982-03-28,,,,,,,2933215.44
1982-03-29,,,,,,,2964052.44
1982-03-30,,,,,,,2994889.44
1982-03-31,,,,,,,3009691.2
1982-04-01,,,,,,,3041761.68
1982-04-02,,,,,,,3089867.4
1982-04-03,,,,,,,3089867.4
1982-04-04,,,,,,,3089867.4
1982-04-05,,,,,,,3136739.64
1982-04-06,,,,,,,3152774.88
1982-04-07,,,,,,,3152774.88
1982-04-08,,,,,,,3184845.36
1982-04-09,,,,,,,3184845.36
1982-04-10,,,,,,,3184845.36
1982-04-11,,,,,,,3184845.36
1982-04-12,,,,,,,3234184.56
1982-04-13,,,,,,,3234184.56
1982-04-14,,,,,,,3267488.52
1982-04-15,,,,,,,3283523.7600000002
1982-04-16,,,,,,,3283523.7600000002
1982-04-17,,,,,,,3283523.7600000002
1982-04-18,,,,,,,3283523.7600000002
1982-04-19,,,,,,,3316827.72
1982-04-20,,,,,,,3348898.2
1982-04-21,,,,,,,3366166.92
1982-04-22,,,,,,,3399470.88
1982-04-23,,,,,,,3450043.56
1982-04-24,,,,,,,3450043.56
1982-04-25,,,,,,,3450043.56
1982-04-26,,,,,,,3450043.56
1982-04-27,,,,,,,3483347.52
1982-04-28,,,,,,,3516651.48
1982-04-29,,,,,,,3516651.48
1982-04-30,,,,,,,3601761.6
1982-05-01,,,,,,,3601761.6
1982-05-02,,,,,,,3601761.6
1982-05-03,,,,,,,3601761.6
1982-05-04,,,,,,,3619030.32
1982-05-05,,,,,,,3636299.04
1982-05-06,,,,,,,3686871.72
1982-05-07,,,,,,,3686871.72
1982-05-08,,,,,,,3686871.72
1982-05-09,,,,,,,3686871.72
1982-05-10,,,,,,,3686871.72
1982-05-11,,,,,,,3669603.0
1982-05-12,,,,,,,3653567.7600000002
1982-05-13,,,,,,,3653567.7600000002
1982-05-14,,,,,,,3669603.0
1982-05-15,,,,,,,3669603.0
1982-05-16,,,,,,,3669603.0
1982-05-17,,,,,,,3669603.0
1982-05-18,,,,,,,3653567.7600000002
1982-05-19,,,,,,,3669603.0
1982-05-20,,,,,,,3686871.72
1982-05-21,,,,,,,3686871.72
1982-05-22,,,,,,,3686871.72
1982-05-23,,,,,,,3686871.72
1982-05-24,,,,,,,3686871.72
1982-05-25,,,,,,,3636299.04
1982-05-26,,,,,,,3636299.04
1982-05-27,,,,,,,3636299.04
1982-05-28,,,,,,,3653567.7600000002
1982-05-29,,,,,,,3669603.0
1982-05-30,,,,,,,3669603.0
1982-05-31,,,,,,,3669603.0
1982-06-01,,,,,,,3669603.0
1982-06-02,,,,,,,3669603.0
1982-06-03,,,,,,,3669603.0
1982-06-04,,,,,,,3686871.72
1982-06-05,,,,,,,3686871.72
1982-06-06,,,,,,,3686871.72
1982-06-07,,,,,,,3669603.0
1982-06-08,,,,,,,3669603.0
1982-06-09,,,,,,,3669603.0
1982-06-10,,,,,,,3669603.0
1982-06-11,,,,,,,3669603.0
